manufacturer,device,url
htc,htc_wildfire_e_star,https://www.gsmarena.com/htc_wildfire_e_star-12454.php
huawei,huawei_p30_pro,https://www.gsmarena.com/huawei_p30_pro-9635.php
huawei,huawei_y9_prime_(2019),https://www.gsmarena.com/huawei_y9_prime_(2019)-9742.php
i_mate,i_mate_jam,https://www.gsmarena.com/i_mate_jam-963.php
i_mate,i_mate_pocket_pc,https://www.gsmarena.com/i_mate_pocket_pc-959.php
i_mobile,i_mobile_625,https://www.gsmarena.com/i_mobile_625-2401.php
i_mobile,i_mobile_tv_626,https://www.gsmarena.com/i_mobile_tv_626-2477.php
icemobile,icemobile_g8_lte,https://www.gsmarena.com/icemobile_g8_lte-8786.php
icemobile,icemobile_apollo,https://www.gsmarena.com/icemobile_apollo-5073.php
infinix,infinix_note_40,https://www.gsmarena.com/infinix_note_40-12877.php
infinix,infinix_hot_40_pro,https://www.gsmarena.com/infinix_hot_40_pro-12733.php
innostream,innostream_inno_90,https://www.gsmarena.com/innostream_inno_90-662.php
innostream,innostream_inno_p10,https://www.gsmarena.com/innostream_inno_p10-1190.php
inq,inq_cloud_q,https://www.gsmarena.com/inq_cloud_q-3772.php
inq,inq_inq1,https://www.gsmarena.com/inq_inq1-2999.php
intex,intex_aqua_power,https://www.gsmarena.com/intex_aqua_power-7299.php
intex,intex_aqua_ace,https://www.gsmarena.com/intex_aqua_ace-7651.php
itel,itel_s23,https://www.gsmarena.com/itel_s23-12478.php
itel,itel_s23+,https://www.gsmarena.com/itel_s23+-12571.php
jolla,jolla_jolla,https://www.gsmarena.com/jolla_jolla-5457.php
jolla,jolla_tablet,https://www.gsmarena.com/jolla_tablet-6816.php
karbonn,karbonn_titanium_wind_w4,https://www.gsmarena.com/karbonn_titanium_wind_w4-7209.php
karbonn,karbonn_k9_jumbo,https://www.gsmarena.com/karbonn_k9_jumbo-5177.php
kyocera,kyocera_duraforce_pro,https://www.gsmarena.com/kyocera_duraforce_pro-8268.php
kyocera,kyocera_duraforce,https://www.gsmarena.com/kyocera_duraforce-6829.php
lava,lava_agni_2,https://www.gsmarena.com/lava_agni_2-12271.php
lava,lava_o2,https://www.gsmarena.com/lava_o2-12891.php
leeco,leeco_le_2,https://www.gsmarena.com/leeco_le_2-8053.php
leeco,leeco_le_1s,https://www.gsmarena.com/leeco_le_1s-8055.php
lenovo,lenovo_legion_y700_(2023),https://www.gsmarena.com/lenovo_legion_y700_(2023)-12476.php
lenovo,lenovo_tab_m11,https://www.gsmarena.com/lenovo_tab_m11-12783.php
lg,lg_v60_thinq_5g,https://www.gsmarena.com/lg_v60_thinq_5g-10103.php
lg,lg_velvet_5g,https://www.gsmarena.com/lg_velvet_5g-10209.php
maxon,maxon_mx_6869,https://www.gsmarena.com/maxon_mx_6869-177.php
maxon,maxon_mx_c90,https://www.gsmarena.com/maxon_mx_c90-596.php
maxwest,maxwest_astro_6,https://www.gsmarena.com/maxwest_astro_6-7566.php
maxwest,maxwest_nitro_55_lte,https://www.gsmarena.com/maxwest_nitro_55_lte-8539.php
meizu,meizu_21_pro,https://www.gsmarena.com/meizu_21_pro-12805.php
meizu,meizu_21,https://www.gsmarena.com/meizu_21-12719.php
micromax,micromax_in_note_1,https://www.gsmarena.com/micromax_in_note_1-10569.php
micromax,micromax_in_2c,https://www.gsmarena.com/micromax_in_2c-11496.php
microsoft,microsoft_surface_duo_2,https://www.gsmarena.com/microsoft_surface_duo_2-11117.php
microsoft,microsoft_surface_duo,https://www.gsmarena.com/microsoft_surface_duo-10365.php
mitac,mitac_mio_a701,https://www.gsmarena.com/mitac_mio_a701-1261.php
mitac,mitac_mio_a501,https://www.gsmarena.com/mitac_mio_a501-2122.php
acer,,https://www.gsmarena.com/acer-phones-f-59-0-r1-p1.php
alcatel,,https://www.gsmarena.com/alcatel-phones-f-5-0-r1-p1.php
allview,,https://www.gsmarena.com/allview-phones-f-88-0-r1-p1.php
amazon,,https://www.gsmarena.com/amazon-phones-f-76-0-r1-p1.php
amoi,,https://www.gsmarena.com/amoi-phones-f-28-0-r1-p1.php
apple,,https://www.gsmarena.com/apple-phones-f-48-0-r1-p1.php
archos,,https://www.gsmarena.com/archos-phones-f-90-0-r1-p1.php
asus,,https://www.gsmarena.com/asus-phones-f-46-0-r1-p1.php
at&t,,https://www.gsmarena.com/at&t-phones-f-57-0-r1-p1.php
benefon,,https://www.gsmarena.com/benefon-phones-f-15-0-r1-p1.php
benq,,https://www.gsmarena.com/benq-phones-f-31-0-r1-p1.php
benq_siemens,,https://www.gsmarena.com/benq_siemens-phones-f-42-0-r1-p1.php
bird,,https://www.gsmarena.com/bird-phones-f-34-0-r1-p1.php
blackberry,,https://www.gsmarena.com/blackberry-phones-f-36-0-r1-p1.php
blackview,,https://www.gsmarena.com/blackview-phones-f-116-0-r1-p1.php
blu,,https://www.gsmarena.com/blu-phones-f-67-0-r1-p1.php
bosch,,https://www.gsmarena.com/bosch-phones-f-10-0-r1-p1.php
bq,,https://www.gsmarena.com/bq-phones-f-108-0-r1-p1.php
casio,,https://www.gsmarena.com/casio-phones-f-77-0-r1-p1.php
cat,,https://www.gsmarena.com/cat-phones-f-89-0-r1-p1.php
celkon,,https://www.gsmarena.com/celkon-phones-f-75-0-r1-p1.php
chea,,https://www.gsmarena.com/chea-phones-f-24-0-r1-p1.php
coolpad,,https://www.gsmarena.com/coolpad-phones-f-105-0-r1-p1.php
cubot,,https://www.gsmarena.com/cubot-phones-f-130-0-r1-p1.php
dell,,https://www.gsmarena.com/dell-phones-f-61-0-r1-p1.php
doogee,,https://www.gsmarena.com/doogee-phones-f-129-0-r1-p1.php
emporia,,https://www.gsmarena.com/emporia-phones-f-93-0-r1-p1.php
energizer,,https://www.gsmarena.com/energizer-phones-f-106-0-r1-p1.php
ericsson,,https://www.gsmarena.com/ericsson-phones-f-2-0-r1-p1.php
eten,,https://www.gsmarena.com/eten-phones-f-40-0-r1-p1.php
fairphone,,https://www.gsmarena.com/fairphone-phones-f-127-0-r1-p1.php
fujitsu_siemens,,https://www.gsmarena.com/fujitsu_siemens-phones-f-50-0-r1-p1.php
garmin_asus,,https://www.gsmarena.com/garmin_asus-phones-f-65-0-r1-p1.php
gigabyte,,https://www.gsmarena.com/gigabyte-phones-f-47-0-r1-p1.php
gionee,,https://www.gsmarena.com/gionee-phones-f-92-0-r1-p1.php
google,,https://www.gsmarena.com/google-phones-f-107-0-r1-p1.php
haier,,https://www.gsmarena.com/haier-phones-f-33-0-r1-p1.php
honor,,https://www.gsmarena.com/honor-phones-f-121-0-r1-p1.php
hp,,https://www.gsmarena.com/hp-phones-f-41-0-r1-p1.php
htc,,https://www.gsmarena.com/htc-phones-f-45-0-r1-p1.php
huawei,,https://www.gsmarena.com/huawei-phones-f-58-0-r1-p1.php
i_mate,,https://www.gsmarena.com/i_mate-phones-f-35-0-r1-p1.php
i_mobile,,https://www.gsmarena.com/i_mobile-phones-f-52-0-r1-p1.php
icemobile,,https://www.gsmarena.com/icemobile-phones-f-69-0-r1-p1.php
infinix,,https://www.gsmarena.com/infinix-phones-f-119-0-r1-p1.php
innostream,,https://www.gsmarena.com/innostream-phones-f-29-0-r1-p1.php
inq,,https://www.gsmarena.com/inq-phones-f-60-0-r1-p1.php
intex,,https://www.gsmarena.com/intex-phones-f-102-0-r1-p1.php
itel,,https://www.gsmarena.com/itel-phones-f-131-0-r1-p1.php
jolla,,https://www.gsmarena.com/jolla-phones-f-84-0-r1-p1.php
karbonn,,https://www.gsmarena.com/karbonn-phones-f-83-0-r1-p1.php
kyocera,,https://www.gsmarena.com/kyocera-phones-f-17-0-r1-p1.php
lava,,https://www.gsmarena.com/lava-phones-f-94-0-r1-p1.php
leeco,,https://www.gsmarena.com/leeco-phones-f-109-0-r1-p1.php
lenovo,,https://www.gsmarena.com/lenovo-phones-f-73-0-r1-p1.php
lg,,https://www.gsmarena.com/lg-phones-f-20-0-r1-p1.php
maxon,,https://www.gsmarena.com/maxon-phones-f-14-0-r1-p1.php
maxwest,,https://www.gsmarena.com/maxwest-phones-f-87-0-r1-p1.php
meizu,,https://www.gsmarena.com/meizu-phones-f-74-0-r1-p1.php
micromax,,https://www.gsmarena.com/micromax-phones-f-66-0-r1-p1.php
microsoft,,https://www.gsmarena.com/microsoft-phones-f-64-0-r1-p1.php
mitac,,https://www.gsmarena.com/mitac-phones-f-25-0-r1-p1.php
