manufacturer,device,Network_Technology,Network_2G bands,Network_GPRS,Network_EDGE,Body_,Display_Resolution,Main Camera_Video,Selfie camera_Single,Selfie camera_Video,Sound_Loudspeaker ,Sound_3.5mm jack ,Comms_WLAN,Comms_Bluetooth,Comms_Positioning,Comms_NFC,Comms_Radio,Comms_USB,Features_Sensors,Battery_Talk time,Misc_Colors,Misc_Price,Network_3G bands,Network_4G bands,Network_,Network_Speed,Platform_GPU,Main Camera_Features,Memory_,Misc_Models,Body_Build,Main Camera_Triple,Selfie camera_Features,Launch_year,IsAvailable,Battery_Capacity,Battery_Removability,Body_length_mm,Body_width_mm,Body_depth_mm,Body_Weight_g,num_slots_sim,has_mini_sim,has_nano_sim,has_micro_sim,has_e_sim,stand-by_sim,hybrid_sim,display_tech,display_refresh,display_diagonal_inches,display_area_cm2,display_screen_body_ratio,display_width_px,display_height_px,display_density,platform_os,platform_os_ver,platform_chipset_manufacturer,platform_chipset_details,platform_chipset_node,platform_cpu_count,platform_cpu_speed_ghz,memory_card_slot,memory_internal_storage,memory_ram,main_camera_single_mp
verykool,verykool_sl5029_bolt_pro_lte,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",1080p@30fps,5 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","4.0, A2DP, LE",GPS,No,Stereo FM radio,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer",Up to 5 h (3G),"Black, Gold, Silver",,HSDPA 850 / 900 / 1900 / 2100 ,"2, 4, 5, 7",,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",Mali-T720,"LED flash, panorama",,,,,LED flash,2017,1,2000,2,144.8,72.0,-1,142,2,0,1,0,0,1,0,tft,60,5.0,68.9,66.1,480,854,196,android,7.0,mediatek,,,4,1.25,microsdxc,8.0,1.0,8
verykool,verykool_s5001_lotus,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",480p,1.3 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP, LE",GPS,No,Stereo FM radio,microUSB 2.0,Accelerometer,Up to 7 h (3G),"Drak Blue, White",,HSDPA 850 / 1700(AWS) / 1900 ,,,HSPA 21.1/5.76 Mbps,Mali-400,"LED flash, panorama",,,,,,2015,1,2000,2,145.0,71.5,-1,159,2,1,0,1,0,1,0,ips lcd,60,5.0,68.9,66.4,480,854,196,android,4.4,mediatek,,,2,1.0,microsdhc,4.0,0.512,5
verykool,verykool_s5530_maverick_ii,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,"720 x 1280 pixels, 16:9 ratio (~267 ppi density)",1080p@30fps,"5 MP, f/2.8",,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP, LE",GPS,No,Stereo FM radio,microUSB 2.0,"Accelerometer, proximity",Up to 7 h (3G),Gray,,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,,,HSPA 21.1/5.76 Mbps,Mali-400MP2,"LED flash, panorama",,,,,LED flash,2016,1,2800,2,157.2,77.7,-1,156,2,0,1,1,0,1,0,ips lcd,60,5.5,83.4,68.3,720,1280,267,android,5.1,mediatek,,,4,1.3,microsdhc,8.0,1.0,13
verykool,verykool_kolorpad_lte_tl8010,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,"800 x 1280 pixels, 16:10 ratio (~189 ppi density)",720p@30fps,"5 MP, f/2.8",,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP, LE",GPS,No,Stereo FM radio,microUSB 2.0,"Accelerometer, proximity",Up to 12 h (3G),Black/Gray,,HSDPA 850 / 1700(AWS) / 1900 ,,,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",Mali-T720MP2,"LED flash, panorama",,,,,,2016,1,4060,2,211.0,125.3,-1,334,2,0,0,1,0,1,0,ips lcd,60,8.0,185.6,70.2,800,1280,189,android,5.1,mediatek,,,4,1.0,microsdxc,8.0,1.0,8
verykool,verykool_s4008_leo_v,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",720p@30fps,"2 MP, f/2.8",,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","2.1, A2DP",GPS,No,Stereo FM radio,microUSB 2.0,Accelerometer,Up to 5 h (3G),"Black, Blue",,HSDPA 850 / 1900 ,,,HSPA 21.1/5.76 Mbps,Mali-400,"LED flash, panorama",,,,,,2016,1,1400,2,126.0,65.0,-1,141,2,1,0,1,0,1,0,ips lcd,60,4.0,45.5,55.6,480,800,233,android,5.1,spreadtrum,,,4,1.2,microsdhc,4.0,0.512,5
verykool,verykool_s5007_lotus_plus,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",720p@30fps,"5 MP, f/2.8",,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","2.1, A2DP",GPS,No,Stereo FM radio,microUSB 2.0,"Accelerometer, proximity",Up to 7 h (3G),"Black, White, Rose Gold",,HSDPA 850 / 1700(AWS) / 1900 ,,,HSPA 21.1/5.76 Mbps,Mali-400,"LED flash, panorama",,,,,,2017,1,2000,2,144.8,72.8,-1,148,2,1,0,1,0,1,0,ips lcd,60,5.0,68.9,65.4,480,854,196,android,5.1,spreadtrum,,,4,1.2,microsdhc,8.0,1.0,8
verykool,verykool_s5027_bolt_pro,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",720p@30fps,"8 MP, f/2.4",,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","2.1, A2DP",GPS,No,Stereo FM radio,microUSB 2.0,Accelerometer,Up to 8 h (3G),"Black, Gold",,HSDPA 850 / 1900 ,,,HSPA 21.1/5.76 Mbps,Mali-400,"LED flash, panorama",,,,,,2017,1,2000,1,144.8,72.8,-1,154,2,1,0,1,0,1,0,tft,60,5.0,68.9,65.4,480,854,196,android,6.0,spreadtrum,,,4,1.2,microsdhc,8.0,1.0,8
verykool,verykool_s5028_bolt,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",720p@30fps,"2 MP, f/2.8",,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","2.1, A2DP",GPS,No,Stereo FM radio,microUSB 2.0,Accelerometer,Up to 8 h (3G),"Black, Gold",,HSDPA 850 / 1900 ,,,HSPA 21.1/5.76 Mbps,Mali-400,"LED flash, panorama",,,,,,2017,1,2000,2,144.8,72.8,-1,154,2,1,0,1,0,1,0,tft,60,5.0,68.9,65.4,480,854,196,android,6.0,spreadtrum,,,4,1.2,microsdhc,8.0,1.0,8
verykool,verykool_s5526_alpha,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,"720 x 1280 pixels, 16:9 ratio (~267 ppi density)",1080p@30fps,"5 MP, f/2.8",,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","4.0, A2DP, LE",GPS,No,Stereo FM radio,microUSB 2.0,"Accelerometer, proximity",Up to 9 h (3G),Black,,HSDPA 850 / 1900 ,,,HSPA 21.1/5.76 Mbps,Mali-400MP2,"LED flash, panorama",,,,,,2017,1,2800,2,152.9,76.8,-1,148,2,1,0,1,0,1,0,ips lcd,60,5.5,83.4,71.0,720,1280,267,android,6.0,mediatek,,,4,1.3,microsdxc,8.0,1.0,8
verykool,verykool_s5527_alpha_pro,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,"720 x 1280 pixels, 16:9 ratio (~267 ppi density)",1080p@30fps,"8 MP, f/2.8",,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","4.0, A2DP, LE",GPS,No,Stereo FM radio,microUSB 2.0,"Accelerometer, proximity",Up to 9 h (3G),Black,,HSDPA 850 / 1700(AWS) / 1900 / 900,,,HSPA 21.1/5.76 Mbps,Mali-400MP2,"LED flash, panorama",,,,,,2017,1,2800,1,152.9,76.8,-1,148,2,1,0,1,0,1,0,ips lcd,60,5.5,83.4,71.0,720,1280,267,android,6.0,mediatek,,,4,1.3,microsdxc,16.0,1.0,13
