manufacturer,device,Network_Technology,Network_2G bands,Network_GPRS,Network_EDGE,Body,Display_Resolution,Main Camera_Video,Selfie camera_Single,Selfie camera_Video,Sound_Loudspeaker,Sound_3.5mm jack ,Comms_WLAN,Comms_Bluetooth,Comms_Positioning,Comms_NFC,Comms_Radio,Comms_USB,Features_Sensors,Battery_Talk time,Misc_Colors,Misc_Price,Network_3G bands,Network_4G bands,Network_,Network_Speed,Platform_GPU,Camera_Features,Memory_,Misc_Models,Body_Build,Main Camera_Triple,Selfie camera_Features,Launch_year,IsAvailable,Battery_Capacity,Battery_Removability,Body_length_mm,Body_width_mm,Body_depth_mm,Body_Weight_g,num_slots_sim,has_mini_sim,has_nano_sim,has_micro_sim,has_e_sim,stand-by_sim,hybrid_sim,display_tech,display_refresh,display_diagonal_inches,display_area_cm2,display_screen_body_ratio,display_width_px,display_height_px,display_density,platform_os,platform_os_ver,platform_chipset_manufacturer,platform_chipset_details,platform_chipset_node,platform_cpu_count,platform_cpu_speed_ghz,memory_card_slot,memory_internal_storage,memory_ram,main_camera_single_mp
maxwest,maxwest_astro_5,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",1080p@25fps,1.3 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP",GPS,No,Stereo FM radio,microUSB 2.0,"Accelerometer, proximity",Up to 12 h (3G),"White, Black, Blue, Rose Red",,HSDPA 850 / 1900 / 2100 ,,,HSPA 21.1/5.76 Mbps,Mali-400MP2,LED flash,,,,,,2014,1,2000,1,142.8,73.4,9.3,154,2,0,0,0,0,1,0,ips lcd,60,5.0,68.9,65.7,480,854,196,android,4.4.2,mediatek,,,4,1.3,microsdhc,4.0,0.512,8
maxwest,maxwest_astro_4,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",720p,VGA,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP",GPS,No,Stereo FM radio,microUSB 2.0,"Accelerometer, proximity",Up to 8 h,White/Black,,HSDPA 850 / 1900 ,,,HSPA 21.1/5.76 Mbps,Mali-400,LED flash,,,,,,2014,1,1400,1,125.5,64.0,9.8,122,2,0,0,0,0,1,0,tft,60,4.0,45.5,56.7,480,800,233,android,4.4.2,mediatek,,,2,1.0,microsdhc,4.0,0.512,2
maxwest,maxwest_nitro_5_5,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,"540 x 960 pixels, 16:9 ratio (~200 ppi density)",720p@30fps,2 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP",GPS,No,Stereo FM radio,microUSB 2.0,"Accelerometer, proximity",Up to 14 h,"White, Black, Blue, Pink, Yellow",,HSDPA 850 / 1900 / 1700,,,HSPA 21.1/5.76 Mbps,Mali-400,LED flash,,,,,,2015,1,2200,1,156.2,78.8,8.7,174,2,0,0,0,0,1,0,ips lcd,60,5.5,83.4,67.8,540,960,200,android,4.4.2,mediatek,,,2,1.2,microsdhc,4.0,0.512,8
meizu,meizu_m6,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,"720 x 1280 pixels, 16:9 ratio (~282 ppi density)",1080p@30fps,"8 MP, f/2.0",,Yes,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band","4.0, A2DP, LE","GPS, GLONASS",No,No,microUSB 2.0,"Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",,"Moonlight Silver, Champagne Gold, Matte Black, Electric Light Blue",About 130 EUR,HSDPA 900 / 1900 / 2100 , LTE (unspecified),,"HSPA, LTE",Mali-T860MP2,Dual-LED dual-tone flash,eMMC 5.1,"M6, MZ-MEIZU M6",,,,2017,1,3070,0,148.2,72.8,8.3,143,2,0,1,0,0,1,1,ips lcd,60,5.2,74.5,69.1,720,1280,282,android,7,mediatek,,,8,1.0,microsdxc,32.0,3.0,13
meizu,meizu_m5_note,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,"1080 x 1920 pixels, 16:9 ratio (~403 ppi density)",1080p@30fps,"5 MP, f/2.0",,Yes,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band","4.0, A2DP, LE","GPS, GLONASS",No,No,microUSB 2.0,"Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",,"Gray, Silver, Gold, Blue",About 190 EUR,HSDPA 900 / 1900 / 2100 , LTE (unspecified),,"HSPA, LTE",Mali-T860MP2,Dual-LED dual-tone flash,eMMC 5.1,"M5 Note, MZ-M5 Note",,,,2016,1,4000,0,153.6,75.8,8.2,175,2,0,1,0,0,1,1,ips lcd,60,5.5,82.6,70.9,1080,1920,403,android,6.0,mediatek,,,8,1.0,microsdxc,64.0,4.0,13
meizu,meizu_pro_7,GSM / HSPA / EVDO / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,"1080 x 1920 pixels, 16:9 ratio (~423 ppi density)","4K@30fps, 1080p@30fps","16 MP, f/2.0, 26mm (wide), 1/3.06"", 1.0µm",1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n or a/b/g/n/ac, dual-band, Wi-Fi Direct","4.2, A2DP, LE","GPS, GLONASS, BDS",No,No,USB Type-C,"Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",,"Black, gold, red",About 400 EUR,HSDPA 850 / 900 / 1900 / 2100 ,"1, 3, 7, 38, 39, 40, 41",CDMA2000 1xEV-DO & TD-SCDMA,"HSPA, LTE",Mali-T880MP2PowerVR 7XTP,"Dual-LED dual-tone flash, HDR, panorama",,"PRO 7, MZ-PRO 7",,,,2017,1,3000,0,147.6,70.7,7.3,163,2,0,1,0,0,1,0,super amoled,60,5.2,74.9,71.8,1080,1920,423,android,7.0,mediatek,,,8,2.2,no,128.0,4.0,12
meizu,meizu_m5,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,"720 x 1280 pixels, 16:9 ratio (~282 ppi density)",1080p@30fps,"5 MP, f/2.0",1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band","4.0, A2DP, LE","GPS, GLONASS",No,No,microUSB 2.0,"Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",,"Mint Green, Glacier White, Champanage Gold, Sapphire Blue, Matte Black",About 120 EUR,HSDPA 850 / 900 / 1900 / 2100 ,"1, 3, 5, 7, 8, 20, 38, 40",,"HSPA, LTE",Mali-T860MP2,Dual-LED dual-tone flash,eMMC 5.1,"M5, MZ-MEIZU_M5, M611H","Glass front, aluminum back, aluminum frame",,,2016,1,3070,0,147.3,72.8,8.2,138,2,0,1,0,0,1,1,ips lcd,60,5.2,74.5,69.5,720,1280,282,android,6.0,mediatek,,,8,1.0,microsdxc,32.0,3.0,13
micromax,micromax_canvas_infinity,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,"720 x 1440 pixels, 18:9 ratio (~279 ppi density)",1080p@30fps,"16 MP, f/2.0, 26mm (wide), 1/3.06"", 1.0µm, AF",1080p@30fps,Yes,Yes,Wi-Fi 802.11 b/g/n,"4.1, A2DP",GPS,No,FM radio,"microUSB 2.0, OTG","Fingerprint (rear-mounted), accelerometer, proximity",Up to 20 h (3G),Black,About 10000 INR,HSDPA 850 / 900 / 1900 / 2100 ,"3, 5, 40",,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",Adreno 308,"LED flash, auto-HDR",eMMC 5.1,HS2,"Glass front, aluminum back, aluminum frame",,LED flash,2017,1,2980,1,152.0,73.0,9.0,160,2,0,0,1,0,1,0,ips lcd,60,5.7,85.7,77.2,720,1440,279,android,7.1.2,qualcomm,,,4,1.4,microsdxc,32.0,3.0,13
micromax,micromax_canvas_2_q4310,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",1080p@28fps,"5 MP, f/2.0",,Yes,Yes,Wi-Fi 802.11 b/g/n,"4.0, A2DP",GPS,No,"FM radio, RDS, recording",microUSB 2.0,"Fingerprint (front-mounted), accelerometer, proximity",Up to 11 h (3G),"Black, Gold",About 12000 INR,HSDPA 900 / 2100 ,"3, 5, 40",,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",Mali-T720,"LED flash, HDR",eMMC 5.0,Q4310,,,,2017,1,3050,0,144.2,70.8,8.5,160,2,0,0,1,0,1,0,ips lcd,60,5.0,68.9,67.5,720,1280,294,android,7.0,mediatek,,,4,1.3,microsdxc,16.0,3.0,13
micromax,micromax_a106_unite_2,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,"480 x 800 pixels, 5:3 ratio (~199 ppi density)",720p,2 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP",GPS,No,FM radio,microUSB 2.0,"Accelerometer, proximity",Up to 8 h,"Pristine White, Balmy Green, Mystic Grey, Raging Red",About 90 EUR,HSDPA 2100 ,,,HSPA 21.1/5.76 Mbps,Mali-400MP2,LED flash,,A106,,,,2014,1,2000,1,138.9,71.9,9.4,158,2,0,0,0,0,0,0,ips lcd,60,4.7,62.9,63.0,480,800,199,android,4.4.2,mediatek,,,4,1.3,microsdhc,8.0,1.0,5
