manufacturer,device,Network_Technology,Network_2G bands,Network_GPRS,Network_EDGE,Body,Display_Resolution,Main Camera_Video,Selfie camera_Single,Selfie camera_Video,Sound_Loudspeaker,Sound_3.5mm jack ,Comms_WLAN,Comms_Bluetooth,Comms_Positioning,Comms_NFC,Comms_Radio,Comms_USB,Features_Sensors,Battery_Talk time,Misc_Colors,Misc_Price,Network_3G bands,Network_4G bands,Network_,Network_Speed,Platform_GPU,Camera_Features,Memory_,Misc_Models,Body_Build,Main Camera_Triple,Selfie camera_Features,Launch_year,IsAvailable,Battery_Capacity,Battery_Removability,Body_length_mm,Body_width_mm,Body_depth_mm,Body_Weight_g,num_slots_sim,has_mini_sim,has_nano_sim,has_micro_sim,has_e_sim,stand-by_sim,hybrid_sim,display_tech,display_refresh,display_diagonal_inches,display_area_cm2,display_screen_body_ratio,display_width_px,display_height_px,display_density,platform_os,platform_os_ver,platform_chipset_manufacturer,platform_chipset_details,platform_chipset_node,platform_cpu_count,platform_cpu_speed_ghz,memory_card_slot,memory_internal_storage,memory_ram,main_camera_single_mp
acer,acer_chromebook_tab_10,No cellular connectivity, N/A,No,No,Stylus,"1536 x 2048 pixels, 4:3 ratio (~264 ppi density)",720p,2 MP,,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 b/g/n/ac, dual-band, Wi-Fi Direct","4.1, A2DP, LE",,No,No,USB Type-C 3.1,Accelerometer,Up to 9 h (multimedia),"Black, Blue",About 330 EUR,,,,,,,,,,,,2018,1,4500,0,238.3,172.2,9.9,544.3,0,0,0,0,0,0,0,ips lcd,60,9.7,91.4,71.0,1536,2048,264,chrome,os,rockchip,,,6,,microsdxc,32.0,4.0,5
acer,acer_iconia_talk_s,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,"720 x 1280 pixels, 16:9 ratio (~210 ppi density)",1080p@30fps,2 MP,720p,Yes,Yes,"Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct","4.0, A2DP","GPS, GLONASS",No,FM radio,microUSB 2.0,"Accelerometer, proximity",Up to 9 h (multimedia),Black,About 170 EUR,HSDPA 850 / 1900 / 2100 ,"1, 3, 7, 8, 20","3, 7, 8, 28","HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",Mali-T720MP2,"HDR, panorama",,,,,,2016,1,3400,0,191.7,101.0,9.4,260,2,0,1,1,0,0,0,ips lcd,60,7.0,135.1,69.8,720,1280,210,android,6.0,mediatek,,,4,1.3,microsdxc,32.0,2.0,13
acer,acer_liquid_z6_plus,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,,"1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",1080p@30fps,5 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","4.0, A2DP",GPS,No,FM radio,microUSB 2.0,"Fingerprint (front-mounted), accelerometer, proximity",,"Black, White",About 250 EUR, HSDPA, LTE (unspecified),,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",Mali-T720MP3,"LED flash, HDR, panorama",,,,,,2016,1,4080,0,153.8,75.6,8.5,169,1,0,0,1,0,0,0,ips lcd,60,5.5,83.4,71.7,1080,1920,401,android,6.0,mediatek,,,8,1.3,microsdxc,32.0,3.0,13
acer,acer_predator_8,No cellular connectivity, N/A,No,No,,"1920 x 1200 pixels, 16:10 ratio (~283 ppi density)",1080p@30fps,2 MP,,"Yes, with stereo speakers (4 speakers)",Yes,Wi-Fi 802.11 a/b/g/n,"4.0, A2DP, LE",,No,No,microUSB 2.0,Yes,Up to 8 h 30 min,Black/Silver,About 350 EUR,,,,,,,,GT-810-15NC,,,,2015,1,4420,0,217.9,127.0,8.6,353.8,0,0,0,0,0,0,0,ips lcd,60,8.0,185.6,67.1,1920,1200,283,android,5.0,intel,,,4,1.6,microsdxc,64.0,2.0,5
acer,acer_liquid_x2,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,,,,"720 x 1280 pixels, 16:9 ratio (~267 ppi density)",1080p@30fps,"13 MP, f/1.8, AF",,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP, LE",GPS,No,FM radio,microUSB 2.0,"Accelerometer, proximity, compass",Up to 23 h (3G),"Black, Gold",About 230 EUR,"HSDPA 900 / 1900 / 2100 - Europe, Taiwan", LTE 800 / 1800 / 2100 / 2600 - Europe, LTE 700 / 900 / 1800 - Taiwan,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",Mali-T720MP4,LED flash,,,,,LED flash,2015,1,4020,1,153.3,78.8,8.5,166,3,0,0,1,0,0,0,ips lcd,60,5.5,83.4,69.0,720,1280,267,android,5.1,mediatek,,,8,1.3,microsdhc,32.0,3.0,13
acer,acer_liquid_z6,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Yes,2 MP,,Yes,Yes,Wi-Fi 802.11 b/g/n,"4.0, A2DP",GPS,No,FM radio,microUSB 2.0,"Accelerometer, proximity",,"Black, White",About 120 EUR, HSDPA, LTE (unspecified),,"HSPA, LTE",Mali-T720MP2,"LED flash, HDR, panorama",eMMC 5.0,,,,,2016,1,2000,1,145.5,72.5,8.5,126,1,0,0,1,0,0,0,ips lcd,60,5.0,68.9,65.3,720,1280,294,android,6.0,mediatek,,,4,1.25,microsdxc,8.0,1.0,8
acer,acer_iconia_tab_10_a3_a30,No cellular connectivity, N/A,No,No,,"1920 x 1200 pixels, 16:10 ratio (~224 ppi density)",1080p@30fps,2 MP,,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot","4.0, A2DP",A-GPS only,Yes,No,microUSB 2.0,Accelerometer,Up to 7 h 30 min (multimedia),Black,About 250 EUR,,,,,,,,,,,,2015,1,5910,0,260.0,176.0,9.7,540,0,0,0,0,0,0,0,led-backlit ips lcd,60,10.1,95.8,64.6,1920,1200,224,android,5.0,intel,,,4,1.33,microsdxc,64.0,2.0,5
acer,acer_liquid_jade_primo,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,"1080 x 1920 pixels, 16:9 ratio (~401 ppi density)","4K@30fps, 1080p@30fps","8 MP, f/2.2",1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.0, A2DP, LE, EDR",GPS,No,FM radio,USB Type-C 3.1,"Accelerometer, gyro, proximity, compass",Up to 20 h (3G),Black,About 220 EUR,HSDPA 850 / 900 / 1900 / 2100 - Europe/ Taiwan, LTE 800 / 1800 / 2100 / 2600 - Europe, LTE 700 / 1700 / 1900 / 2600 - USA,"HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps",Adreno 418,"Dual-LED flash, HDR, panorama",eMMC 5.0,,,,,2015,1,2870,0,156.5,75.9,8.4,150,2,0,1,0,0,1,1,amoled,60,5.5,83.4,70.2,1080,1920,401,microsoft,windows,qualcomm,,,6,1.8,microsdxc,32.0,3.0,21
acer,acer_iconia_tab_a500,No cellular connectivity, N/A,No,No,,"800 x 1280 pixels, 16:10 ratio (~149 ppi density)",Yes,2 MP,,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 b/g/n, hotspot","2.1, A2DP, EDR",GPS,,No,"microUSB 2.0, USB 2.0","Accelerometer, gyro, proximity",Up to 6 h,Black,About 200 EUR,,,,,ULP GeForce,LED flash,,,,,,2011,1,3260,0,260.0,177.0,13.3,730,0,0,0,0,0,0,0,lcd,60,10.1,95.8,64.3,800,1280,149,android,3.0,nvidia,,,2,1.0,microsdhc,32.0,1.0,5
acer,acer_liquid_zest,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),,,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",1080p@30fps,5 MP,,Yes,Yes,Wi-Fi 802.11 b/g/n,"4.0, A2DP",GPS,No,FM radio,microUSB 2.0,"Accelerometer, proximity, compass",,"Black, White",About 110 EUR,HSDPA 850 / 900 / 1900 / 2100 , LTE (unspecified),,"HSPA, LTE Cat4 150/50 Mbps",Mali-400MP2 - Z525Mali-T720MP2 - Z528,"LED flash, HDR, panorama",,,,,,2016,1,2000,1,145.7,71.2,8.4,125,1,0,0,1,0,0,0,ips lcd,60,5.0,68.9,66.4,720,1280,294,android,6.0,mediatek,,,4,1.0,microsdhc,8.0,1.0,8
acer,acer_liquid_jade_2,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,"1080 x 1920 pixels, 16:9 ratio (~401 ppi density)","4K@30fps, 1080p@30fps",8 MP,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","4.0, A2DP, LE",GPS,No,FM radio,microUSB 2.0,"Accelerometer, gyro, proximity, compass",,Black,,HSDPA 900 / 2100 , LTE (unspecified),,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",Adreno 418,"Dual-LED flash, HDR, panorama",eMMC 5.0,,,,,2016,1,3000,0,156.6,75.9,8.4,150,2,0,1,0,0,1,0,super amoled,60,5.5,83.4,70.2,1080,1920,401,android,6.0,qualcomm,,,6,1.8,microsdxc,32.0,3.0,21
acer,acer_iconia_tab_a3_a20,No cellular connectivity, N/A,No,No,,"1280 x 800 pixels, 16:10 ratio (~149 ppi density)",720p,2 MP,,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP",A-GPS only,No,No,microUSB 2.0,Accelerometer,Up to 9 h (multimedia),"Black, White",About 190 EUR,,,,,Mali-450MP4,,,,,,,2014,1,5700,0,256.5,170.2,10.2,508,0,0,0,0,0,0,0,led-backlit ips lcd,60,10.1,95.8,67.8,1280,800,149,android,4.4,mediatek,,,4,1.3,microsdxc,16.0,1.0,5
alcatel,alcatel_1b_(2022),GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (Dual-SIM model only),,,,"720 x 1440 pixels, 18:9 ratio (~293 ppi density)",1080p@30fps,"5 MP, f/2.2, 24 mm (wide), 1/5.0"", 1.12µm",1080p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","5.0, A2DP",GPS,No,FM radio,microUSB 2.0,Accelerometer,,"Prime Black, Atlantic Blue",About 100 EUR,HSDPA 850 / 900 / 1900 / 2100 ,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41 - 5031D, 5031G","2, 3, 4, 5, 7, 8, 12, 13, 17, 26, 28, 38, 40, 66 - 5031A, 5041J","HSPA 42.2/11.1 Mbps, LTE Cat4 150/50 Mbps",PowerVR GE8300,"LED flash, HDR, panorama",eMMC 5.1,"5031D, 5031G, 5031A, 5031J",,,,2022,1,3000,1,146.7,71.9,10.0,172,1,0,1,0,0,0,0,tft lcd,60,5.5,78.1,74.0,720,1440,293,android,11,mediatek,,,4,2.0,microsdxc,32.0,2.0,8
alcatel,alcatel_1,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),,,,"480 x 960 pixels, 18:9 ratio (~215 ppi density)",720p@30fps,"2 MP, f/2.8",720p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","4.2, A2DP, LE",GPS,No,FM radio,microUSB 2.0,"Accelerometer, proximity",,"Black, Blue, Gold, Pink",About 60 EUR,HSDPA 850 / 900 / 1900 / 2100 ,"1, 3, 7, 8, 20",,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",PowerVR GE8100,LED flash,eMMC 5.1,"5033X, 5033J, 5033T, 5033D, 5033G, 5033M, 5033X_EEA, 5033F, 5033E, 5033D_EEA, 5033Q, 5033O, 5033G_EEA, 5033EP, 5033XR, 5033F_EEA, 5033S, 5033D_RU",,,,2018,1,2000,2,137.6,65.7,9.8,134,1,0,1,0,0,0,0,tft lcd,60,5.0,64.5,71.4,480,960,215,android,8.1,mediatek,,,4,1.28,microsdhc,16.0,1.0,5
alcatel,alcatel_1_(2021),GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),,,,"480 x 960 pixels, 18:9 ratio (~215 ppi density)",720p@30fps,"2 MP, f/2.8",720p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","4.2, A2DP, LE",GPS,No,FM radio,microUSB 2.0,"Accelerometer, proximity",,"Volcano Black, AI Aqua",About 60 EUR,HSDPA 850 / 900 / 1900 / 2100 ,"1, 3, 7, 8, 20",,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",PowerVR GE8100,LED flash,eMMC 5.1,,,,,2021,1,2000,2,137.6,65.7,9.8,134,1,0,1,0,0,0,0,tft lcd,60,5.0,64.5,71.4,480,960,215,android,11,mediatek,,,4,1.28,microsdhc,16.0,1.0,5
alcatel,alcatel_go_flip_4,GSM / HSPA / LTE,GSM 850 / 1900 ,,,,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",480p@30fps,,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.2, A2DP",GPS,No,FM radio,USB Type-C 2.0,,,Midnight Blue,About 120 EUR,HSDPA 850 / 1700(AWS) / 1900 ,"2, 4, 5, 12, 25, 26, 41, 66, 71",,"HSPA, LTE",Adreno 308,,,4056W,,,,2021,1,1850,2,107.3,55.6,19.9,133,0,0,1,0,0,0,0,tn tft lcd,60,2.8,4.3,40.7,240,320,143,kaios,3.0,snapdragon,,,4,1.3,microsdhc,4.0,0.512,2
alcatel,alcatel_1b_(2020),GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,"720 x 1440 pixels, 18:9 ratio (~293 ppi density)",1080p@30fps,"5 MP, f/2.2, (wide), 1/5.0"", 1.12µm",1080p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","4.2, A2DP, LE",GPS,No,FM radio,microUSB 2.0,"Accelerometer, proximity",,"Prime Black, Pine Green",About 80 EUR,HSDPA 850 / 900 / 1900 / 2100 ,"1, 3, 5, 7, 8, 20, 28",,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",Adreno 308,"LED flash, HDR",eMMC 5.1,"5002A, 5002D, 5002F, 5002I, 5002M, 5002X, 5002S, 5002R, 5002D_EEA, 5002H_EEA, 5002H, 5002B, 5002C, 5002W, 5002H_TR","Glass front, plastic back, plastic frame",,,2020,1,3000,2,146.1,71.6,9.9,168,2,0,1,0,0,1,0,ips lcd,60,5.5,78.1,74.6,720,1440,293,android,10,qualcomm,,,4,1.3,microsdxc,32.0,2.0,8
alcatel,alcatel_go_flip_3,GSM / CDMA / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,,,,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",720p@30fps,,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.2, A2DP",No,No,FM radio,microUSB 2.0,,,Prime Black,About 80 EUR,HSDPA 850 / 1700(AWS) / 1900 ,"2, 4, 5, 12, 25, 26, 41, 66, 71",CDMA 800 / 1900 ,"HSPA, LTE",Adreno 304,,,,,,,2019,1,1350,1,104.9,53.1,20.1,118,0,0,1,0,0,0,0,tn tft lcd,60,2.8,4.3,43.6,240,320,143,kaios,2.5.2,qualcomm,,,4,1.1,microsdhc,4.0,0.512,2
alcatel,alcatel_3t_8,LTE, N/A,No,No,,"800 x 1280 pixels, 16:10 ratio (~189 ppi density)",1080p@30fps,"2 MP, f/2.8, (wide), 1/5.0"", 1.65µm",720p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct","4.2, A2DP, LE",No,No,FM radio,microUSB 2.0,Accelerometer,,"Black, Blue",About 140 EUR, N/A,"2, 4, 5, 12, 66, 71",,LTE,,,eMMC 5.1,"9027Q, 9027W, 9032X, 9032T, 9032X_EEA","Glass front, plastic back, plastic frame",,,2018,1,4080,0,209.5,125.0,8.3,279,0,0,0,1,0,0,0,ips lcd,60,8.0,185.6,70.9,800,1280,189,android,8.1,mediatek,,,4,1.28,microsdxc,32.0,3.0,5
allview,allview_a10_plus,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,"480 x 960 pixels, 18:9 ratio (~201 ppi density)",720p,5 MP,,Yes,Yes,Wi-Fi 802.11 b/g/n,"4.0, A2DP, LE",GPS,No,FM radio,microUSB 2.0,Accelerometer,,Gray,,HSDPA 900 / 2100 ,,,HSPA 21.1/5.76 Mbps,Mali-400MP2,"LED flash, HDR",,,,,LED flash,2018,1,2200,2,151.0,71.8,9.6,150,2,0,1,0,0,1,0,ips lcd,60,5.34,73.6,67.9,480,960,201,android,8.1,mediatek,,,4,1.3,microsdxc,8.0,1.0,8
allview,allview_viva_803g,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,,,,"800 x 1280 pixels, 16:10 ratio (~189 ppi density)",720p,2 MP,,Yes,Yes,Wi-Fi 802.11 b/g/n,"4.0, A2DP",GPS,No,FM radio,microUSB 2.0,Accelerometer,,Black,About 90 EUR,HSDPA 900 / 1900 / 2100 ,,,HSPA 21.1/5.76 Mbps,Mali-400,LED flash,eMMC 5.1,,,,,2020,1,3600,0,208.0,124.0,9.5,330,0,0,0,1,0,0,0,ips lcd,60,8.0,185.6,72.0,800,1280,189,android,9.0,mediatek,,,4,1.3,microsdhc,16.0,1.0,
allview,allview_x3_soul_style,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,"1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",1080p@30fps,8 MP,,Yes,Yes,Wi-Fi 802.11 b/g/n,"4.0, A2DP, EDR",GPS,No,FM radio,microUSB 2.0,"Accelerometer, proximity",Up to 15 h (3G),Mocha Gold,,HSDPA 900 / 1900 / 2100 ,"1, 3, 7, 20, 38, 39, 40, 41",,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",Mali-T720,"LED flash, HDR",,X3_Soul_Style,,,,2016,1,3150,0,154.5,75.6,8.2,162.2,2,0,1,1,0,1,1,ips lcd,60,5.5,83.4,71.4,1080,1920,401,android,6.0,mediatek,,,8,1.3,microsdxc,32.0,3.0,13
allview,allview_viva_1003g,GSM / HSPA,GSM 900 / 1800 / 1900 ,,,,"800 x 1280 pixels, 16:10 ratio (~149 ppi density)",720p@30fps,2 MP,,Yes,Yes,Wi-Fi 802.11 b/g/n,"4.0, A2DP",GPS,No,FM radio,microUSB 2.0,Accelerometer,Up to 11 h,Black,,HSDPA 900 / 2100 ,,,HSPA 21.1/5.76 Mbps,Mali-400,LED flash,,,,,,2019,1,4000,0,246.2,171.7,10.7,479.4,0,1,0,0,0,0,0,ips lcd,60,10.1,95.8,70.0,800,1280,149,android,9.0,mediatek,,,4,1.3,microsdxc,16.0,2.0,2
amazon,amazon_fire_7,No cellular connectivity, N/A,No,No,,"600 x 1024 pixels, 16:9 ratio (~170 ppi density)",720p,VGA,,Yes,Yes,Wi-Fi 802.11 b/g/n,"4.0, A2DP, LE",No,No,No,microUSB 2.0,Accelerometer,Up to 7 h,Black,About 50 EUR,,,,,Mali-450MP4,,,,,,,2015,1,2980,0,191.0,115.0,10.6,313,0,0,0,0,0,0,0,ips lcd,60,7.0,137.9,62.8,600,1024,170,customized,android,mediatek,,,4,1.3,microsdxc,8.0,1.0,2
amazon,amazon_fire_phone,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,,,,"720 x 1280 pixels, 16:9 ratio (~312 ppi density)",1080p@30fps,2.1 MP,,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",3,"GPS, GLONASS",Yes,No,microUSB 2.0,"Accelerometer, gyro, proximity, compass, barometer",Up to 22 h,Black,About 160 EUR,HSDPA 850 / 900 / 1700 / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 17, 20",,"HSPA, LTE",Adreno 330,"LED flash, HDR",eMMC 4.5,"SD4930UR, Fire Phone",,,,2014,1,2400,0,139.2,66.5,8.9,160,0,0,1,0,0,0,0,ips lcd,60,4.7,60.9,65.8,720,1280,312,amazon,fire,qualcomm,,,4,2.2,no,64.0,2.0,13
amazon,amazon_fire_hd_10_(2017),No cellular connectivity, N/A,No,No,,"1920 x 1200 pixels, 16:10 ratio (~224 ppi density)",720p,VGA,,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","4.1, A2DP, LE",No,No,No,microUSB 2.0,Accelerometer,Up to 10 h,"Black, Marine Blue, Punch Red",About 170 EUR,,,,,PowerVR G6250,,,,,,,2017,1,3830,0,262.0,159.0,9.8,500,0,0,0,0,0,0,0,ips lcd,60,10.1,95.8,71.0,1920,1200,224,customized,android,mediatek,,,4,1.4,microsdxc,64.0,2.0,2
amazon,amazon_fire_hd_8_(2017),No cellular connectivity, N/A,No,No,,"800 x 1280 pixels, 16:10 ratio (~189 ppi density)",720p,VGA,,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n, dual-band","4.0, A2DP, LE",No,No,No,microUSB 2.0,Accelerometer,Up to 12 h,"Black, Canary Yellow, Marine Blue, Punch Red",About 110 EUR,,,,,Mali-T730MP3,,,,,,,2017,1,3210,0,214.0,128.0,9.7,369,0,0,0,0,0,0,0,ips lcd,60,8.0,185.6,67.7,800,1280,189,customized,android,mediatek,,,4,1.3,microsdxc,32.0,1.5,2
amazon,amazon_fire_7_(2017),No cellular connectivity, N/A,No,No,,"600 x 1024 pixels, 16:9 ratio (~170 ppi density)",720p,VGA,,Yes,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band","4.0, A2DP, LE",No,No,No,"microUSB 2.0, OTG",Accelerometer,Up to 8 h,"Black, Canary Yellow, Marine Blue, Punch Red",About 70 EUR,,,,,Mali-450MP4,,,,,,,2017,1,2980,0,192.0,115.0,9.6,295,0,0,0,0,0,0,0,ips lcd,60,7.0,137.9,62.5,600,1024,170,customized,android,mediatek,,,4,1.3,microsdxc,16.0,1.0,2
apple,apple_iphone_xr,GSM / CDMA / HSPA / EVDO / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM) - for China,,,"IP67 dust/water resistant (up to 1m for 30 min)
Apple Pay (Visa, MasterCard, AMEX certified)","828 x 1792 pixels, 19.5:9 ratio (~326 ppi density)","4K@24/30/60fps, 1080p@30/60/120/240fps, HDR, stereo sound rec.","7 MP, f/2.2, 32mm (standard)
SL 3D, (depth/biometrics sensor)",1080p@60fps,"Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot","5.0, A2DP, LE","GPS, GLONASS, GALILEO, QZSS",Yes,No,"Lightning, USB 2.0","Face ID, accelerometer, gyro, proximity, compass, barometer",,"Black, Red, Yellow, Blue, Coral, White",$ 172.00 / C$ 263.00 / £ 119.00 / € 194.00,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 17, 18, 19, 20, 25, 26, 29, 30, 32, 34, 38, 39, 40, 41, 66, 71",CDMA2000 1xEV-DO ,"HSPA, LTE, EV-DO Rev.A 3.1 Mbps",Apple GPU (4-core graphics),"Quad-LED dual-tone flash, HDR (photo/panorama)",NVMe,"A2105, A1984, A2107, A2108, A2106, iPhone11,8","Glass front (Corning-made glass), glass back (Corning-made glass), aluminum frame (7000 series)",,HDR,2018,1,2942,0,150.9,75.7,8.3,194,2,0,1,0,0,0,0,liquid retina ips lcd,60,6.1,90.3,79.0,828,1792,326,ios,12,apple,,,6,1.6,no,256.0,3.0,12
archos,archos_diamond_alpha_+,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,"1080 x 1920 pixels, 16:9 ratio (~424 ppi density)","4K@30fps, 1080p@30fps","16 MP, f/2.2, 26mm (wide), 1/3.06"", 1.0µm","4K@30fps, 1080p@30fps",Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","4.2, A2DP, LE",GPS,No,No,"USB Type-C, OTG","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",,"Black, Gold",About 400 EUR,HSDPA 900 / 2100 , LTE (unspecified),,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",Adreno 510,"LED flash, HDR, panorama",eMMC 5.1,,,,,2017,1,3000,0,146.7,72.5,7.5,155,2,0,1,0,0,1,1,ips lcd,60,5.2,74.5,70.1,1080,1920,424,android,6.0,qualcomm,,,8,1.4,microsdxc,128.0,6.0,13
archos,archos_saphir_50x,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,IP68 dust/water resistant (up to 1m for 30 min),"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",1080p@30fps,2 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA","4.0, A2DP, LE",GPS,No,FM radio,"microUSB 2.0, OTG","Accelerometer, proximity, compass",,Black,About 150 EUR,HSDPA 850 / 900 / 2100 ,"1, 3, 7, 20",,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",Mali-T720MP2,LED flash,eMMC 5.0,,,,,2018,1,4000,0,146.6,76.0,13.0,210,2,0,1,0,0,1,0,s-ips lcd,60,5.0,68.9,61.9,720,1280,294,android,7.0,mediatek,,,4,1.3,microsdxc,16.0,2.0,8
archos,archos_diamond_alpha,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,"1080 x 1920 pixels, 16:9 ratio (~424 ppi density)","4K@30fps, 1080p@30fps","16 MP, f/2.2, 26mm (wide), 1/3.06"", 1.0µm",1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","4.2, A2DP, LE",GPS,No,No,"USB Type-C, OTG","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Up to 11 h (3G),Black,About 350 EUR,HSDPA 900 / 2100 ,"1, 3, 7, 20",,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",Adreno 510,"LED flash, HDR, panorama",eMMC 5.1,,,,,2017,1,2950,0,146.7,72.5,7.5,155,2,0,1,0,0,1,1,ips lcd,60,5.2,74.5,70.1,1080,1920,424,android,6.0,qualcomm,,,8,1.4,microsdxc,64.0,4.0,13
archos,archos_diamond_tab,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,,,,"1600 x 2560 pixels, 16:10 ratio (~299 ppi density)",1080p@30fps,5 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","4.2, A2DP, EDR",GPS,No,No,microUSB 2.0,Accelerometer,,Black,About 300 EUR,HSDPA 900 / 2100 , LTE (unspecified),,"HSPA, LTE",Mali-T860MP4,LED flash,,,,,,2017,1,6600,0,255.0,163.0,8.0,510,0,0,0,1,0,0,0,ips lcd,60,10.1,95.8,71.2,1600,2560,299,android,7.0,rockchip,,,4,,microsdxc,64.0,4.0,13
