manufacturer,url
qtek,https://www.gsmarena.com/qtek-phones-f-38-0-r1-p1.php
razer,https://www.gsmarena.com/razer-phones-f-117-0-r1-p1.php
realme,https://www.gsmarena.com/realme-phones-f-118-0-r1-p1.php
sagem,https://www.gsmarena.com/sagem-phones-f-13-0-r1-p1.php
samsung,https://www.gsmarena.com/samsung-phones-f-9-0-r1-p1.php
sendo,https://www.gsmarena.com/sendo-phones-f-18-0-r1-p1.php
sewon,https://www.gsmarena.com/sewon-phones-f-26-0-r1-p1.php
sharp,https://www.gsmarena.com/sharp-phones-f-23-0-r1-p1.php
siemens,https://www.gsmarena.com/siemens-phones-f-3-0-r1-p1.php
sonim,https://www.gsmarena.com/sonim-phones-f-54-0-r1-p1.php
sony,https://www.gsmarena.com/sony-phones-f-7-0-r1-p1.php
sony_ericsson,https://www.gsmarena.com/sony_ericsson-phones-f-19-0-r1-p1.php
spice,https://www.gsmarena.com/spice-phones-f-68-0-r1-p1.php
t_mobile,https://www.gsmarena.com/t_mobile-phones-f-55-0-r1-p1.php
tcl,https://www.gsmarena.com/tcl-phones-f-123-0-r1-p1.php
tecno,https://www.gsmarena.com/tecno-phones-f-120-0-r1-p1.php
tel_me_,https://www.gsmarena.com/tel_me_-phones-f-21-0-r1-p1.php
telit,https://www.gsmarena.com/telit-phones-f-16-0-r1-p1.php
thuraya,https://www.gsmarena.com/thuraya-phones-f-49-0-r1-p1.php
toshiba,https://www.gsmarena.com/toshiba-phones-f-44-0-r1-p1.php
ulefone,https://www.gsmarena.com/ulefone-phones-f-124-0-r1-p1.php
unnecto,https://www.gsmarena.com/unnecto-phones-f-91-0-r1-p1.php
vertu,https://www.gsmarena.com/vertu-phones-f-39-0-r1-p1.php
verykool,https://www.gsmarena.com/verykool-phones-f-70-0-r1-p1.php
vivo,https://www.gsmarena.com/vivo-phones-f-98-0-r1-p1.php
vk_mobile,https://www.gsmarena.com/vk_mobile-phones-f-37-0-r1-p1.php
vodafone,https://www.gsmarena.com/vodafone-phones-f-53-0-r1-p1.php
wiko,https://www.gsmarena.com/wiko-phones-f-96-0-r1-p1.php
wnd,https://www.gsmarena.com/wnd-phones-f-51-0-r1-p1.php
xcute,https://www.gsmarena.com/xcute-phones-f-43-0-r1-p1.php
xiaomi,https://www.gsmarena.com/xiaomi-phones-f-80-0-r1-p1.php
xolo,https://www.gsmarena.com/xolo-phones-f-85-0-r1-p1.php
yezz,https://www.gsmarena.com/yezz-phones-f-78-0-r1-p1.php
yota,https://www.gsmarena.com/yota-phones-f-99-0-r1-p1.php
yu,https://www.gsmarena.com/yu-phones-f-100-0-r1-p1.php
zte,https://www.gsmarena.com/zte-phones-f-62-0-r1-p1.php
