acer,acer_liquid_z6_plus,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,"2016, August. Released 2016, December",Discontinued,153.8 x 75.6 x 8.5 mm (6.06 x 2.98 x 0.33 in),169 g (5.96 oz),"Single SIM (Micro-SIM) or Hybrid Dual SIM (Micro-SIM, dual stand-by)",,IPS LCD,"5.5 inches, 83.4 cm2 (~71.7% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",Android 6.0 (Marshmallow),Mediatek MT6753 (28 nm),Octa-core 1.3 GHz Cortex-A53,microSDXC (uses shared SIM slot),32GB 3GB RAM,"13 MP, AF",1080p@30fps,5 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","4.0, A2DP",GPS,No,FM radio,microUSB 2.0,"Fingerprint (front-mounted), accelerometer, proximity","Li-Po 4080 mAh, non-removable",,"Black, White",About 250 EUR, HSDPA, LTE (unspecified),,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",Mali-T720MP3,"LED flash, HDR, panorama",,,,,
acer,acer_iconia_tab_10_a3_a40,,No cellular connectivity, N/A,No,No,"2016, April. Released 2016, June",Discontinued,259 x 167 x 8.9 mm (10.20 x 6.57 x 0.35 in),-,No,,IPS LCD,"10.1 inches, 295.8 cm2 (~68.4% screen-to-body ratio)","1920 x 1200 pixels, 16:10 ratio (~224 ppi density)",Android 6.0 (Marshmallow),Mediatek MT8163A,Quad-core 1.3 GHz Cortex-A53,microSDXC (dedicated slot),"16GB 2GB RAM, 32GB 2GB RAM, 64GB 2GB RAM",5 MP,1080p@30fps,2 MP,,"Yes, with stereo speakers (4 speakers)",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","4.0, A2DP",,No,No,microUSB 2.0,Accelerometer,"Li-Ion 6100 mAh, non-removable",,Black,About 230 EUR,,,,,Mali-T720 MP2,,,,,,
acer,acer_predator_8,,No cellular connectivity, N/A,No,No,"2015, September. Released 2015, November",Discontinued,217.9 x 127 x 8.6 mm (8.58 x 5.0 x 0.34 in),353.8 g (12.49 oz),No,,IPS LCD,"8.0 inches, 185.6 cm2 (~67.1% screen-to-body ratio)","1920 x 1200 pixels, 16:10 ratio (~283 ppi density)",Android 5.0 (Lollipop),Intel Atom x7-Z8700,Quad-core 1.6 GHz,microSDXC (dedicated slot),"32GB 2GB RAM, 64GB 2GB RAM",5 MP,1080p@30fps,2 MP,,"Yes, with stereo speakers (4 speakers)",Yes,Wi-Fi 802.11 a/b/g/n,"4.0, A2DP, LE",,No,No,microUSB 2.0,Yes,"Li-Po 4420 mAh, non-removable",Up to 8 h 30 min,Black/Silver,About 350 EUR,,,,,,,,GT-810-15NC,,,
acer,acer_liquid_x2,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,,,"2015, April. Released 2016, February",Discontinued,153.3 x 78.8 x 8.5 mm (6.04 x 3.10 x 0.33 in),166 g (5.86 oz),Triple SIM (Micro-SIM),,IPS LCD,"5.5 inches, 83.4 cm2 (~69.0% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",Android 5.1 (Lollipop),Mediatek MT6753 (28 nm),Octa-core 1.3 GHz Cortex-A53,microSDHC (dedicated slot),32GB 3GB RAM,"13 MP, f/1.8, AF",1080p@30fps,"13 MP, f/1.8, AF",,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP, LE",GPS,No,FM radio,microUSB 2.0,"Accelerometer, proximity, compass","Li-Po 4020 mAh, removable",Up to 23 h (3G),"Black, Gold",About 230 EUR,"HSDPA 900 / 1900 / 2100 - Europe, Taiwan", LTE 800 / 1800 / 2100 / 2600 - Europe, LTE 700 / 900 / 1800 - Taiwan,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",Mali-T720MP4,LED flash,,,,,LED flash
acer,acer_liquid_z6,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,"2016, August. Released 2016, December",Discontinued,145.5 x 72.5 x 8.5 mm (5.73 x 2.85 x 0.33 in),126 g (4.44 oz),"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",,IPS LCD,"5.0 inches, 68.9 cm2 (~65.3% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 6.0 (Marshmallow),Mediatek MT6737 (28 nm),Quad-core 1.25 GHz Cortex-A53,microSDXC,8GB 1GB RAM,"8 MP, AF",Yes,2 MP,,Yes,Yes,Wi-Fi 802.11 b/g/n,"4.0, A2DP",GPS,No,FM radio,microUSB 2.0,"Accelerometer, proximity","Li-Ion 2000 mAh, removable",,"Black, White",About 120 EUR, HSDPA, LTE (unspecified),,"HSPA, LTE",Mali-T720MP2,"LED flash, HDR, panorama",eMMC 5.0,,,,
acer,acer_iconia_tab_10_a3_a30,,No cellular connectivity, N/A,No,No,"2015, April. Released 2015, June",Discontinued,260 x 176 x 9.7 mm (10.24 x 6.93 x 0.38 in),540 g (1.19 lb),No,,LED-backlit IPS LCD,"10.1 inches, 295.8 cm2 (~64.6% screen-to-body ratio)","1920 x 1200 pixels, 16:10 ratio (~224 ppi density)",Android 5.0 (Lollipop),Intel Atom Z3735F,Quad-core 1.33 GHz,microSDXC (dedicated slot),"16GB 2GB RAM, 32GB 2GB RAM, 64GB 2GB RAM",5 MP,1080p@30fps,2 MP,,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot","4.0, A2DP",A-GPS only,Yes,No,microUSB 2.0,Accelerometer,"Li-Ion 5910 mAh, non-removable (22 Wh)",Up to 7 h 30 min (multimedia),Black,About 250 EUR,,,,,,,,,,,
acer,acer_liquid_jade_primo,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"2015, September. Released 2016, April",Discontinued,156.5 x 75.9 x 8.4 mm (6.16 x 2.99 x 0.33 in),150 g (5.29 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)",,AMOLED,"5.5 inches, 83.4 cm2 (~70.2% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",Microsoft Windows 10,Qualcomm MSM8992 Snapdragon 808 (20 nm),Hexa-core (4x1.4 GHz Cortex-A53 & 2x1.8 GHz Cortex-A57),microSDXC (uses shared SIM slot),32GB 3GB RAM,"21 MP, f/2.2, AF","4K@30fps, 1080p@30fps","8 MP, f/2.2",1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.0, A2DP, LE, EDR",GPS,No,FM radio,USB Type-C 3.1,"Accelerometer, gyro, proximity, compass","Li-Po 2870 mAh, non-removable",Up to 20 h (3G),Black,About 220 EUR,HSDPA 850 / 900 / 1900 / 2100 - Europe/ Taiwan, LTE 800 / 1800 / 2100 / 2600 - Europe, LTE 700 / 1700 / 1900 / 2600 - USA,"HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps",Adreno 418,"Dual-LED flash, HDR, panorama",eMMC 5.0,,,,
acer,acer_iconia_tab_a500,,No cellular connectivity, N/A,No,No,"2011, February. Released 2011, April",Discontinued,260 x 177 x 13.3 mm (10.24 x 6.97 x 0.52 in),730 g (1.61 lb),No,,"LCD, 256K colors","10.1 inches, 295.8 cm2 (~64.3% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~149 ppi density)","Android 3.0, upgradable to 4.0 (Ice Cream Sandwich)",Nvidia Tegra 2 T20,Dual-core 1.0 GHz Cortex-A9,microSDHC (dedicated slot),"16GB 1GB RAM, 32GB 1GB RAM","5 MP, AF",Yes,2 MP,,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 b/g/n, hotspot","2.1, A2DP, EDR",GPS,,No,"microUSB 2.0, USB 2.0","Accelerometer, gyro, proximity",Non-removable Li-Po 3260 mAh battery,Up to 6 h,Black,About 200 EUR,,,,,ULP GeForce,LED flash,,,,,
acer,acer_liquid_zest,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),,,"2016, February. Released 2016, April",Discontinued,145.7 x 71.2 x 8.4 mm (5.74 x 2.80 x 0.33 in),125 g (4.41 oz),"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",,IPS LCD,"5.0 inches, 68.9 cm2 (~66.4% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Android 6.0 (Marshmallow),Mediatek MT6580 - Z525Mediatek MT6735 - Z525,Quad-core 1.3 GHz - Z525Quad-core 1.0 GHz - Z528,microSDHC (dedicated slot),8GB 1GB RAM,"8 MP, f/2.0, AF",1080p@30fps,5 MP,,Yes,Yes,Wi-Fi 802.11 b/g/n,"4.0, A2DP",GPS,No,FM radio,microUSB 2.0,"Accelerometer, proximity, compass","Li-Ion 2000 mAh, removable",,"Black, White",About 110 EUR,HSDPA 850 / 900 / 1900 / 2100 , LTE (unspecified),,"HSPA, LTE Cat4 150/50 Mbps",Mali-400MP2 - Z525Mali-T720MP2 - Z528,"LED flash, HDR, panorama",,,,,
acer,acer_liquid_jade_2,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"2016, February",Discontinued,156.6 x 75.9 x 8.4 mm (6.17 x 2.99 x 0.33 in),150 g (5.29 oz),"Dual SIM (Nano-SIM, dual stand-by)",,Super AMOLED,"5.5 inches, 83.4 cm2 (~70.2% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",Android 6.0 (Marshmallow),Qualcomm MSM8992 Snapdragon 808 (20 nm),Hexa-core (4x1.4 GHz Cortex-A53 & 2x1.8 GHz Cortex-A57),microSDXC,32GB 3GB RAM,"21 MP, AF","4K@30fps, 1080p@30fps",8 MP,1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","4.0, A2DP, LE",GPS,No,FM radio,microUSB 2.0,"Accelerometer, gyro, proximity, compass","Li-Po 3000 mAh, non-removable",,Black,,HSDPA 900 / 2100 , LTE (unspecified),,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",Adreno 418,"Dual-LED flash, HDR, panorama",eMMC 5.0,,,,
acer,acer_liquid_zest_plus,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,"2016, April. Released 2016, July",Discontinued,154 x 77 x 10 mm (6.06 x 3.03 x 0.39 in),-,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",,IPS LCD,"5.5 inches, 83.4 cm2 (~70.3% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",Android 6.0 (Marshmallow),Mediatek MT6735 (28 nm),Quad-core 1.3 GHz Cortex-A53,microSDXC (dedicated slot),16GB 2GB RAM,"13 MP, PDAF, Laser AF",1080p@30fps,5 MP,,Yes,Yes,Wi-Fi 802.11 b/g/n,"4.0, A2DP",GPS,No,FM radio,microUSB 2.0,"Accelerometer, proximity, compass","Li-Ion 5000 mAh, non-removable",,"Blue, White",About 200 EUR, HSDPA, LTE (unspecified),,"HSPA, LTE",Mali-T720MP2,"LED flash, HDR, panorama",,,,,
acer,acer_iconia_tab_a3_a20,,No cellular connectivity, N/A,No,No,"2014, October. Released 2014, October",Discontinued,256.5 x 170.2 x 10.2 mm (10.10 x 6.70 x 0.40 in),508 g (1.12 lb),No,,LED-backlit IPS LCD,"10.1 inches, 295.8 cm2 (~67.8% screen-to-body ratio)","1280 x 800 pixels, 16:10 ratio (~149 ppi density)",Android 4.4 (KitKat),Mediatek MT8127 (28 nm),Quad-core 1.3 GHz Cortex-A7,microSDXC (dedicated slot),16GB 1GB RAM,"5 MP, AF",720p,2 MP,,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP",A-GPS only,No,No,microUSB 2.0,Accelerometer,Non-removable Li-Po 5700 mAh battery (A3-A20-K19H),Up to 9 h (multimedia),"Black, White",About 190 EUR,,,,,Mali-450MP4,,,,,,
acer,acer_iconia_one_7_b1_730,,No cellular connectivity, N/A,No,No,"2014, April. Released 2014, June",Discontinued,8.9 mm thickness,-,No,,IPS LCD,"7.0 inches, 142.1 cm2","800 x 1280 pixels, 16:10 ratio (~216 ppi density)","Android 4.2.2 (Jelly Bean), upgradable to 4.4.2 (KitKat)",Intel Atom Z2560,Dual-core 1.6 GHz,microSDHC (dedicated slot),8GB 1GB RAM,5 MP,Yes,Yes,,"Yes, with stereo speakers",Yes,Wi-Fi 802.11 b/g/n,"4.0, A2DP",No,No,No,microUSB 2.0,Accelerometer,"Li-Ion 3700 mAh, non-removable",Up to 7 h (multimedia),"Red, white, black, blue, pink",About 90 EUR,,,,,PowerVR SGX544MP2,,,,,,
alcatel,alcatel_1b_(2022),,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (Dual-SIM model only),,,"2022, May 31","Available. Released 2022, May 31",146.7 x 71.9 x 10 mm (5.78 x 2.83 x 0.39 in),172 g (6.07 oz),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)",,TFT LCD,"5.5 inches, 78.1 cm2 (~74.0% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~293 ppi density)",Android 11 (Go edition),Mediatek MT6761 Helio A22 (12 nm),Quad-core 2.0 GHz Cortex-A53,microSDXC (dedicated slot),32GB 2GB RAM,"8 MP, f/2.0, 25 mm (wide), 1/4.0"", 1.12µm, AF",1080p@30fps,"5 MP, f/2.2, 24 mm (wide), 1/5.0"", 1.12µm",1080p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","5.0, A2DP",GPS,No,FM radio,microUSB 2.0,Accelerometer,"Li-Ion 3000 mAh battery, removable",,"Prime Black, Atlantic Blue",About 100 EUR,HSDPA 850 / 900 / 1900 / 2100 ,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41 - 5031D, 5031G","2, 3, 4, 5, 7, 8, 12, 13, 17, 26, 28, 38, 40, 66 - 5031A, 5041J","HSPA 42.2/11.1 Mbps, LTE Cat4 150/50 Mbps",PowerVR GE8300,"LED flash, HDR, panorama",eMMC 5.1,"5031D, 5031G, 5031A, 5031J",,,
alcatel,alcatel_1se_(2020),,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"2020, October 28","Available. Released 2020, October 28",159.2 x 75.2 x 8.7 mm (6.27 x 2.96 x 0.34 in),175 g (6.17 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)",,IPS LCD,"6.22 inches, 96.6 cm2 (~80.7% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~270 ppi density)",Android 10,Unisoc SC9863A (28nm),Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),microSDXC (uses shared SIM slot),"32GB 3GB RAM, 64GB 2GB RAM, 128GB 4GB RAM",,1080p@30fps,"5 MP, f/2.2, (wide), 1/5.0"", 1.12µm",1080p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","4.2, A2DP",GPS,No,FM radio,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, proximity","Li-Po 4000 mAh, non-removable",,"Agate Greeen, Power Gray",About 150 EUR,HSDPA 850 / 900 / 1900 / 2100 ,"1, 3, 7, 8, 20, 28",,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",IMG8322,"LED flash, HDR, panorama",eMMC 5.1,"5030F, 5030U, 5030D_EEA, 5030F_EEA, 5030D, 5030E, 5030A, 5030E_TCL, 5030I, 5030M","Glass front, plastic frame, plastic back","13 MP, f/2.2, (wide), 1/3.06"", 1.12µm, AF
5 MP, f/2.2, (ultrawide), 1/5.0"", 1.12µm
2 MP, f/2.4, (depth)",HDR
alcatel,alcatel_1,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),,,"2018, July","Available. Released 2018, July",137.6 x 65.7 x 9.8 mm (5.42 x 2.59 x 0.39 in),134 g (4.73 oz),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)",,TFT LCD,"5.0 inches, 64.5 cm2 (~71.4% screen-to-body ratio)","480 x 960 pixels, 18:9 ratio (~215 ppi density)", Android 8.1 Oreo (Go edition),Mediatek MT6739 (28 nm),Quad-core 1.28 GHz Cortex-A53,microSDHC (dedicated slot),"8GB 1GB RAM, 16GB 1GB RAM","5 MP, f/2.4, 1/5.0"", 1.12µm",720p@30fps,"2 MP, f/2.8",720p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","4.2, A2DP, LE",GPS,No,FM radio,microUSB 2.0,"Accelerometer, proximity",Li-Ion 2000 mAh,,"Black, Blue, Gold, Pink",About 60 EUR,HSDPA 850 / 900 / 1900 / 2100 ,"1, 3, 7, 8, 20",,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",PowerVR GE8100,LED flash,eMMC 5.1,"5033X, 5033J, 5033T, 5033D, 5033G, 5033M, 5033X_EEA, 5033F, 5033E, 5033D_EEA, 5033Q, 5033O, 5033G_EEA, 5033EP, 5033XR, 5033F_EEA, 5033S, 5033D_RU",,,
alcatel,alcatel_1_(2021),,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),,,"2021, June 25","Available. Released 2021, October 22",137.6 x 65.7 x 9.8 mm (5.42 x 2.59 x 0.39 in),134 g (4.73 oz),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)",,TFT LCD,"5.0 inches, 64.5 cm2 (~71.4% screen-to-body ratio)","480 x 960 pixels, 18:9 ratio (~215 ppi density)",Android 11 (Go edition),Mediatek MT6739 (28 nm),Quad-core 1.28 GHz Cortex-A53,microSDHC (dedicated slot),"8GB 1GB RAM, 16GB 1GB RAM","5 MP, f/2.4, 1/5.0"", 1.12µm",720p@30fps,"2 MP, f/2.8",720p@30fps,Yes,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","4.2, A2DP, LE",GPS,No,FM radio,microUSB 2.0,"Accelerometer, proximity",Li-Ion 2000 mAh,,"Volcano Black, AI Aqua",About 60 EUR,HSDPA 850 / 900 / 1900 / 2100 ,"1, 3, 7, 8, 20",,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",PowerVR GE8100,LED flash,eMMC 5.1,,,,
alcatel,alcatel_go_flip_4,,GSM / HSPA / LTE,GSM 850 / 1900 ,,,"2021, September","Available. Released 2021, September",107.3 x 55.6 x 19.9 mm (4.22 x 2.19 x 0.78 in),133 g (4.69 oz),Nano-SIM,,TN TFT LCD,"2.8 inches, 24.3 cm2 (~40.7% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",KaiOS 3.0,QM215 Snapdragon 215 (28 nm),Quad-core 1.3 GHz Cortex-A53,microSDHC (dedicated slot),4GB 512MB RAM,2 MP,480p@30fps,,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.2, A2DP",GPS,No,FM radio,USB Type-C 2.0,,Li-Ion 1850 mAh,,Midnight Blue,About 120 EUR,HSDPA 850 / 1700(AWS) / 1900 ,"2, 4, 5, 12, 25, 26, 41, 66, 71",,"HSPA, LTE",Adreno 308,,,4056W,,,
