manufacturer,device,has_jack,has_loudspeaker,has_stereo,has_dual,average_dollar_price,Launch_year,IsAvailable,Battery_Capacity,Battery_Removability,Body_length_mm,Body_width_mm,Body_Weight_g,num_slots_sim,has_mini_sim,has_nano_sim,has_micro_sim,has_e_sim,stand-by_sim,hybrid_sim,display_tech,display_refresh,display_diagonal_inches,display_area_cm2,display_screen_body_ratio,display_width_px,display_height_px,display_density,platform_os,platform_cpu_count,platform_cpu_speed_ghz,memory_internal_storage,memory_ram,main_camera_single_mp
tecno,tecno_pova_5_pro,1,1,1,0,179.988,2023,1,5000,0,168.5,76.5,212,2,0,1,0,0,1,0,ips lcd,120,6.78,109,84.7,1080,2460,396,android,8,2,256,8,0.08
tecno,tecno_pova_5,1,1,1,0,122.376,2023,1,6000,0,168.6,76.6,219.4,2,0,1,0,0,1,0,ips lcd,120,6.78,109,84.5,1080,2460,396,android,8,2,256,8,0.08
tecno,tecno_spark_10_pro,1,1,0,0,151.3735667,2023,1,5000,0,168.4,76.2,208,2,0,1,0,0,1,0,ips lcd,90,6.8,109.3,85.1,1080,2460,396,android,8,1.8,256,8,0.08
tecno,tecno_pova_3,1,1,1,0,160.5,2022,1,7000,0,173.1,78.5,230,2,0,1,0,0,1,0,ips lcd,90,6.9,113.1,83.2,1080,2460,389,android,8,1.8,128,6,0.08
toshiba,toshiba_windows_phone_is12t,1,1,0,0,631.3,2011,1,1460,1,118,59,113,0,1,0,0,0,0,0,tft,60,3.7,39,56,480,800,252,microsoft,,1,0,0,13.2
toshiba,toshiba_tg01,0,1,0,0,535,2009,1,1000,1,130,70,129,0,1,0,0,0,0,0,tft resistive touchscreen,60,4.1,47.8,52.6,480,800,228,microsoft,,1,0,0.256,3.15
toshiba,toshiba_g910___g920,0,0,0,0,203.3,2008,1,1320,1,117,64,183,0,1,0,0,0,0,0,tft resistive touchscreen,60,3,5.6,34.2,800,480,311,microsoft,,0.011,0,0.128,2
ulefone,ulefone_armor_pad_2,1,1,1,0,256.8,2023,1,18600,0,277.8,178,1018,2,0,1,0,0,1,0,ips lcd,60,11,344.4,69.6,1200,2000,212,android,8,2,256,8,48
ulefone,ulefone_power_armor_20wt,0,1,0,0,353.1,2023,1,10850,0,164.8,79.2,382,2,0,1,0,0,1,0,ips lcd,60,5.65,82.4,63.1,1080,2160,427,android,8,2,256,12,50
ulefone,ulefone_armor_x12_pro,1,1,0,0,139.1,2023,1,4860,0,157.2,76.8,257,2,0,1,0,0,1,0,ips lcd,60,5.45,76.7,63.5,720,1440,295,android,8,1.7,64,4,13
ulefone,ulefone_armor_pad,1,1,1,0,214,2023,1,7650,1,213,128.8,560,2,0,1,0,0,1,0,ips lcd,60,8,185.6,67.6,800,1280,189,android,8,1.5,64,4,13
ulefone,ulefone_tab_a8,1,1,1,0,192.6,2023,1,6580,0,238.7,157.5,483,2,0,1,0,0,1,1,ips lcd,60,10.1,95.8,78.7,1200,1920,224,android,8,2,64,4,13
vertu,vertu_aster,1,1,1,0,5820.8,2014,1,2275,0,143.4,69,193,0,0,1,0,0,0,0,sapphire crystal glass,60,4.7,59.9,60.5,1080,1920,473,android,4,2.3,64,2,13
vertu,vertu_signature_touch,1,1,1,0,8870.3,2014,1,2275,0,145,69,192,0,0,0,1,0,0,0,sapphire crystal glass,60,4.7,60.9,60.9,1080,1920,469,android,4,2.3,64,2,13
verykool,verykool_s4510_luna,1,1,0,0,96.3,2014,1,1650,1,136,67.5,142,0,1,0,0,0,0,0,ips lcd,60,4.5,57.6,62.8,480,800,207,android,2,1.2,4,0.512,5
verykool,verykool_s5017q_dorado,1,1,0,0,117.7,2015,1,1850,2,148.3,71.1,161,2,0,0,1,0,1,0,ips lcd,60,5,68.9,65.3,480,854,196,android,4,1.3,8,1,8
