manufacturer,device,has_jack,has_loudspeaker,has_stereo,has_dual,average_dollar_price,Launch_year,IsAvailable,Battery_Capacity,Battery_Removability,Body_length_mm,Body_width_mm,Body_Weight_g,num_slots_sim,has_mini_sim,has_nano_sim,has_micro_sim,has_e_sim,stand-by_sim,hybrid_sim,display_tech,display_refresh,display_diagonal_inches,display_area_cm2,display_screen_body_ratio,display_width_px,display_height_px,display_density,platform_os,platform_cpu_count,platform_cpu_speed_ghz,memory_internal_storage,memory_ram,main_camera_single_mp
acer,acer_iconia_talk_s,1,1,0,0,181.9,2016,1,3400,0,191.7,101,260,2,0,1,1,0,0,0,ips lcd,60,7,135.1,69.8,720,1280,210,android,4,1.3,32,2,13
acer,acer_liquid_z6_plus,1,1,0,0,267.5,2016,1,4080,0,153.8,75.6,169,1,0,0,1,0,0,0,ips lcd,60,5.5,83.4,71.7,1080,1920,401,android,8,1.3,32,3,13
acer,acer_liquid_x2,1,1,0,0,246.1,2015,1,4020,1,153.3,78.8,166,3,0,0,1,0,0,0,ips lcd,60,5.5,83.4,69,720,1280,267,android,8,1.3,32,3,13
acer,acer_iconia_tab_a500,1,1,1,0,214,2011,1,3260,0,260,177,730,0,0,0,0,0,0,0,lcd,60,10.1,95.8,64.3,800,1280,149,android,2,1,32,1,5
acer,acer_liquid_jade_primo,1,1,0,0,235.4,2015,1,2870,0,156.5,75.9,150,2,0,1,0,0,1,1,amoled,60,5.5,83.4,70.2,1080,1920,401,microsoft,6,1.8,32,3,21
acer,acer_liquid_zest,1,1,0,0,117.7,2016,1,2000,1,145.7,71.2,125,1,0,0,1,0,0,0,ips lcd,60,5,68.9,66.4,720,1280,294,android,4,1,8,1,8
acer,acer_liquid_z6,1,1,0,0,128.4,2016,1,2000,1,145.5,72.5,126,1,0,0,1,0,0,0,ips lcd,60,5,68.9,65.3,720,1280,294,android,4,1.25,8,1,8
acer,acer_liquid_z520,1,1,0,0,139.1,2015,1,2000,1,154,86,118,1,0,0,1,0,0,0,tft,60,5,75.7,57.1,480,854,187,android,4,1.3,16,2,8
acer,acer_iconia_tab_a3_a20,1,1,1,0,203.3,2014,1,5700,0,256.5,170.2,508,0,0,0,0,0,0,0,led-backlit ips lcd,60,10.1,95.8,67.8,1280,800,149,android,4,1.3,16,1,5
acer,acer_iconia_a1_830,1,1,0,0,139.1,2014,1,4000,0,203,138.4,380,0,0,0,0,0,0,0,led-backlit ips lcd,60,7.9,193.3,68.8,768,1024,162,android,2,1.6,16,1,5
acer,acer_iconia_tab_a701,1,1,1,0,406.6,2012,1,9800,0,259.8,175,667,0,1,0,0,0,0,0,lcd,60,10.1,95.8,65.1,1920,1200,224,android,4,1.3,64,1,5
acer,acer_liquid_e700,1,1,1,0,214,2014,1,3500,0,147.3,73,155,3,0,0,1,0,0,0,ips lcd,60,5,68.9,64.1,720,1280,294,android,4,1.2,16,2,8
acer,acer_liquid_z200,1,1,0,0,96.3,2014,1,1300,1,126,65,130,1,1,0,0,0,0,0,tft,60,4,45.5,55.6,480,800,233,android,2,1,4,0.512,2
acer,acer_liquid_z530,1,1,0,0,160.5,2015,1,2420,1,144,70.3,145,1,0,0,1,0,0,0,ips lcd,60,5,68.9,68.1,720,1280,294,android,4,1.3,16,2,8
acer,acer_iconia_tab_a1_810,1,1,0,0,128.4,2013,1,4960,0,208.7,145.7,410,0,0,0,0,0,0,0,led-backlit ips lcd,60,7.9,193.3,63.6,768,1024,162,android,4,1.2,16,1,5
acer,acer_iconia_tab_a3,1,1,1,0,203.3,2013,1,7300,0,260,175,560,0,0,0,1,0,0,0,led-backlit ips lcd,60,10.1,95.8,65,800,1280,149,android,4,1.2,32,1,5
acer,acer_liquid_z3,1,1,0,0,107,2013,1,1500,1,109,60,120,1,0,0,1,0,0,0,tft,60,3.5,36.5,55.8,320,480,165,android,2,1,4,0.512,3.15
acer,acer_liquid_z220,1,1,0,0,96.3,2015,1,1300,1,125.3,64,120,1,1,0,0,0,0,0,ips lcd,60,4,45.5,56.8,480,800,233,android,2,1.2,8,1,5
acer,acer_liquid_z4,1,1,0,0,107,2014,1,1630,1,124,64,122,1,0,0,1,0,0,0,tft,60,4,45.5,57.4,480,800,233,android,2,1.3,4,0.512,5
acer,acer_liquid_s2,1,1,1,0,363.8,2013,1,3300,0,166,86.2,229,0,0,1,0,0,0,0,ips lcd,60,6,98.7,69,1080,1920,368,android,4,2.2,16,2,13
acer,acer_liquid_jade_z,1,1,0,0,214,2015,1,2300,0,143.5,69.8,110,2,0,1,0,0,1,1,ips lcd,60,5,68.9,68.8,720,1280,294,android,4,1.5,16,2,13
acer,acer_liquid_z630,1,1,0,0,214,2015,1,4000,1,156.3,77.5,165,1,0,0,1,0,0,0,ips lcd,60,5.5,83.4,68.8,720,1280,267,android,4,1.3,16,2,8
acer,acer_liquid,1,1,0,0,96.3,2009,1,1350,1,115,62.5,135,0,1,0,0,0,0,0,tft,60,3.5,34.9,48.5,480,800,267,android,,0.768,0.512,0.256,5
acer,acer_iconia_tab_a200,1,1,0,0,214,2012,1,3260,0,260,175,700,0,0,0,0,0,0,0,ips lcd,60,10.1,95.8,65,800,1280,149,android,2,1,16,1,2
acer,acer_iconia_tab_a1_811,1,1,0,0,160.5,2013,1,4960,0,208.7,145.7,430,0,0,0,0,0,0,0,tft,60,7.9,193.3,63.6,768,1024,162,android,4,1.2,8,1,5
acer,acer_liquid_z330,1,1,0,0,117.7,2015,1,2000,1,136,66.5,142,1,0,0,1,0,0,0,ips lcd,60,4.5,55.8,61.7,480,854,218,android,4,1.1,8,1,5
acer,acer_liquid_z320,1,1,0,0,96.3,2015,1,2000,1,136,66.5,142,1,0,0,1,0,0,0,ips lcd,60,4.5,55.8,61.7,480,854,218,android,4,1,8,1,5
acer,acer_neotouch,1,1,0,0,224.7,2009,1,1350,1,118.6,63,130,0,1,0,0,0,0,0,tft resistive touchscreen,60,3.8,41.1,55,480,800,246,microsoft,,1,0,0.256,5
acer,acer_iconia_tab_a100,1,1,1,0,107,2011,1,1530,0,195,117,450,0,0,0,0,0,0,0,lcd,60,7,137.9,60.4,600,1024,170,android,2,1,16,1,5
acer,acer_liquid_z410,1,1,0,1,139.1,2015,1,2000,1,136,66.7,145,1,0,0,1,0,0,0,ips lcd,60,4.5,55.8,61.5,540,960,245,android,4,1.3,16,2,5
acer,acer_liquid_e2,1,1,1,0,192.6,2013,1,2000,1,131,68,140,1,0,0,1,0,0,0,ips lcd,60,4.5,55.8,62.7,540,960,245,android,4,1.2,4,1,8
acer,acer_liquid_jade_s,1,1,0,0,214,2014,1,2300,0,143,69,116,2,0,1,0,0,1,1,ips lcd,60,5,68.9,69.8,720,1280,294,android,8,1.5,16,2,13
acer,acer_liquid_z5,1,1,0,0,181.9,2014,1,2000,0,145.5,73.5,150,2,0,0,0,0,0,0,tft,60,5,68.9,64.4,480,854,196,android,2,1.3,4,0.512,5
acer,acer_iconia_tab_8_a1_840fhd,1,1,0,0,214,2014,1,4600,0,215,130,360,0,0,0,0,0,0,0,ips lcd,60,8,185.6,66.4,1200,1920,283,android,4,1.86,32,2,5
acer,acer_liquid_e,1,1,0,0,96.3,2010,1,1350,1,115,62.5,135,0,1,0,0,0,0,0,tft,60,3.5,34.9,48.5,480,800,267,android,,0.768,0.512,0.512,5
acer,acer_iconia_tab_a501,1,1,1,0,524.3,2011,1,3260,0,260,177,777,0,1,0,0,0,0,0,lcd,60,10.1,95.8,64.3,800,1280,149,android,2,1,64,1,5
acer,acer_liquid_e3,1,1,0,0,214,2014,1,2500,0,136,68,134,1,0,0,1,0,0,0,ips lcd,60,4.7,60.9,65.8,720,1280,312,android,4,1.2,4,1,13
alcatel,alcatel_1b_(2022),1,1,0,0,107,2022,1,3000,1,146.7,71.9,172,1,0,1,0,0,0,0,tft lcd,60,5.5,78.1,74,720,1440,293,android,4,2,32,2,8
alcatel,alcatel_1,1,1,0,0,64.2,2018,1,2000,2,137.6,65.7,134,1,0,1,0,0,0,0,tft lcd,60,5,64.5,71.4,480,960,215,android,4,1.28,16,1,5
alcatel,alcatel_go_flip_4,1,1,0,0,128.4,2021,1,1850,2,107.3,55.6,133,0,0,1,0,0,0,0,tn tft lcd,60,2.8,4.3,40.7,240,320,143,kaios,4,1.3,4,0.512,2
alcatel,alcatel_1_(2021),1,1,0,0,64.2,2021,1,2000,2,137.6,65.7,134,1,0,1,0,0,0,0,tft lcd,60,5,64.5,71.4,480,960,215,android,4,1.28,16,1,5
alcatel,alcatel_1t_7,1,1,0,0,74.9,2018,1,2580,0,189.5,111,245,0,0,0,0,0,0,0,tft,60,7,137.9,65.6,600,1024,170,android,4,1.3,8,1,2
alcatel,alcatel_1b_(2020),1,1,0,0,85.6,2020,1,3000,2,146.1,71.6,168,2,0,1,0,0,1,0,ips lcd,60,5.5,78.1,74.6,720,1440,293,android,4,1.3,32,2,8
alcatel,alcatel_go_flip_v,1,1,0,0,85.6,2019,1,1350,1,104.9,52.8,118,0,0,1,0,0,0,0,tn tft lcd,60,2.8,4.3,43.8,240,320,143,kaios,4,1.1,8,1,2
alcatel,alcatel_go_flip_3,1,1,0,0,85.6,2019,1,1350,1,104.9,53.1,118,0,0,1,0,0,0,0,tn tft lcd,60,2.8,4.3,43.6,240,320,143,kaios,4,1.1,4,0.512,2
alcatel,alcatel_1x,1,1,0,0,107,2018,1,2460,2,147.5,70.6,151,1,0,1,0,0,0,0,ips lcd,60,5.3,72.5,69.6,480,960,203,android,4,1.3,16,2,13
alcatel,alcatel_pixi_3_(4),1,1,0,0,53.5,2015,1,1650,2,121.3,64.2,110,1,0,0,0,0,0,0,tft,60,4,45.5,58.5,480,800,233,android,4,1.1,4,0.512,5
alcatel,alcatel_1t_10,1,1,0,0,107,2018,1,4000,0,255,155,415,0,0,0,0,0,0,0,tft,60,10.1,95.8,74.8,1280,800,149,android,4,1.3,16,1,2
alcatel,alcatel_one_touch_idol,1,1,0,0,246.1,2013,1,1800,0,133,67.5,109,1,0,0,1,0,0,0,ips lcd,60,4.66,59.9,66.7,540,960,236,android,2,1,0,1,8
alcatel,alcatel_pixi_3_(4_5),1,1,0,0,64.2,2015,1,1780,2,132.2,65.1,125,1,0,0,0,0,0,0,tft,60,4.5,55.8,64.8,480,854,218,android,4,1.1,4,1,8
alcatel,alcatel_5,1,1,0,0,246.1,2018,1,3000,0,152.3,71.1,144,1,0,1,0,0,0,0,ips lcd,60,5.7,83.8,77.4,720,1440,282,android,8,1,32,3,12
alcatel,alcatel_idol_4s,1,1,1,0,235.4,2016,1,3000,0,153.9,75.4,149,2,0,1,0,0,1,1,amoled,60,5.5,83.4,71.9,1440,2560,534,android,8,1.4,32,3,16
alcatel,alcatel_idol_4,1,1,1,0,214,2016,1,2610,0,147,72.5,135,2,0,1,0,0,1,1,ips lcd,60,5.2,74.5,69.9,1080,1920,424,android,8,1.2,16,3,13
alcatel,alcatel_idol_4s_windows,1,1,1,0,214,2016,1,3000,0,153.9,75.4,152,0,0,1,0,0,0,0,amoled,60,5.5,83.4,71.9,1080,1920,401,microsoft,4,1.6,64,4,21
alcatel,alcatel_1v_(2019),1,1,0,0,85.6,2019,1,2460,1,149.1,72.2,153.2,1,0,1,0,0,0,0,ips lcd,60,5.5,78.1,72.5,480,960,195,android,8,1.2,16,3,8
alcatel,alcatel_idol_3_(5_5),1,1,1,0,267.5,2015,1,2910,0,152.7,75.1,141,1,0,0,1,0,0,0,ips lcd,60,5.5,83.4,72.7,1080,1920,401,android,8,1,32,2,13
allview,allview_viva_803g,1,1,0,0,96.3,2020,1,3600,0,208,124,330,0,0,0,1,0,0,0,ips lcd,60,8,185.6,72,800,1280,189,android,4,1.3,16,1,
allview,allview_x2_soul,1,1,0,0,363.8,2014,1,2300,0,145.1,70.1,129,0,0,0,1,0,0,0,super amoled,60,5,68.9,67.8,1080,1920,441,android,8,1.7,16,2,13
allview,allview_viva_1003g_lite,1,1,0,0,107,2019,1,4000,0,246.2,171.7,505.2,0,1,0,0,0,0,0,ips lcd,60,10.1,95.8,70,800,1280,149,android,4,1.3,16,1,0.3
allview,allview_x3_soul_pro,1,1,0,0,481.5,2016,1,3000,0,154.3,74.9,144,2,0,1,1,0,1,1,amoled,60,5.5,83.4,72.2,1080,1920,401,android,8,1,64,4,16
allview,allview_x1_xtreme,1,1,0,0,502.9,2014,1,2500,0,150.6,75,150.5,0,0,0,1,0,0,0,ips lcd,60,5.5,83.4,73.8,1080,1920,401,android,4,2.15,32,3,16
allview,allview_p8_energy_pro,1,1,0,0,449.4,2016,1,5020,0,160.9,81.2,209.8,2,0,0,1,0,1,0,amoled,60,6,99,76,1080,1920,367,android,8,1.3,64,3,13
allview,allview_v3_viper,1,1,0,0,235.4,2018,1,3000,0,148.3,71.8,143.6,2,0,1,1,0,1,1,ips lcd,60,5.5,78.1,73.3,720,1440,293,android,4,1.3,32,3,13
allview,allview_x2_xtreme,1,1,1,0,524.3,2015,1,3500,0,164,82,204.4,2,0,0,1,0,1,0,amoled,60,6,99,73.8,1440,2560,490,android,8,2,64,3,24
allview,allview_p8_energy,1,1,0,0,321,2015,1,6000,0,152,76,212,2,0,0,1,0,1,0,amoled,60,5.5,83.4,72.2,720,1280,267,android,4,1.3,16,2,13
allview,allview_p5_pro,1,1,0,0,139.1,2016,1,1700,1,136,67.6,118.5,2,0,0,1,0,1,0,ips lcd,60,4.5,55.8,60.7,480,854,218,android,4,1,8,1,5
amazon,amazon_fire_7,1,1,0,0,53.5,2015,1,2980,0,191,115,313,0,0,0,0,0,0,0,ips lcd,60,7,137.9,62.8,600,1024,170,customized,4,1.3,8,1,2
amazon,amazon_fire_phone,1,1,1,0,171.2,2014,1,2400,0,139.2,66.5,160,0,0,1,0,0,0,0,ips lcd,60,4.7,60.9,65.8,720,1280,312,amazon,4,2.2,64,2,13
amazon,amazon_fire_hd_10_(2017),1,1,1,0,181.9,2017,1,3830,0,262,159,500,0,0,0,0,0,0,0,ips lcd,60,10.1,95.8,71,1920,1200,224,customized,4,1.4,64,2,2
amazon,amazon_fire_hd_8_(2017),1,1,1,0,117.7,2017,1,3210,0,214,128,369,0,0,0,0,0,0,0,ips lcd,60,8,185.6,67.7,800,1280,189,customized,4,1.3,32,1.5,2
amazon,amazon_fire_7_(2017),1,1,0,0,74.9,2017,1,2980,0,192,115,295,0,0,0,0,0,0,0,ips lcd,60,7,137.9,62.5,600,1024,170,customized,4,1.3,16,1,2
apple,apple_iphone_xr,0,1,1,0,223.19,2018,1,2942,0,150.9,75.7,194,2,0,1,0,0,0,0,liquid retina ips lcd,60,6.1,90.3,79,828,1792,326,ios,6,1.6,256,3,12
apple,apple_iphone_7,0,1,1,0,192.6,2016,1,1960,0,138.3,67.1,138,0,0,1,0,0,0,0,retina ips lcd,60,4.7,60.9,65.6,750,1334,326,ios,4,2.34,256,2,12
apple,apple_iphone_8,0,1,1,0,224.7,2017,1,1821,0,138.4,67.3,148,0,0,1,0,0,0,0,retina ips lcd,60,4.7,60.9,65.4,750,1334,326,ios,6,,256,2,12
apple,apple_iphone_6,1,1,0,0,107,2014,1,1810,0,138.1,67,129,0,0,1,0,0,0,0,ips lcd,60,4.7,60.9,65.8,750,1334,326,ios,2,1.4,128,1,8
apple,apple_iphone_se_(2020),0,1,1,0,162.5133333,2020,1,1821,0,138.4,67.3,148,2,0,1,0,0,0,0,retina ips lcd,60,4.7,60.9,65.4,750,1334,326,ios,6,1.8,256,3,12
apple,apple_iphone_se_(2022),0,1,1,0,153.25,2022,1,2018,0,138.4,67.3,144,2,0,1,0,0,0,0,retina ips lcd,60,4.7,60.9,65.4,750,1334,326,ios,6,1.82,256,4,12
apple,apple_iphone_6s,1,1,0,0,246.1,2015,1,1715,0,138.3,67.1,143,0,0,1,0,0,0,0,ips lcd,60,4.7,60.9,65.6,750,1334,326,ios,2,1.84,128,2,12
apple,apple_ipad_(2022),0,1,1,0,620.6,2022,1,7606,0,248.6,179.5,477,2,0,1,0,0,0,0,liquid retina ips lcd,60,10.9,359,80.5,1640,2360,264,ipados,6,1.8,256,4,12
apple,apple_iphone_se,1,1,0,0,149.8,2016,1,1624,0,123.8,58.6,113,0,0,1,0,0,0,0,ips lcd,60,4,44.1,60.8,640,1136,326,ios,2,1.84,128,2,12
apple,apple_iphone_6s_plus,1,1,0,0,256.8,2015,1,2750,0,158.2,77.9,192,0,0,1,0,0,0,0,ips lcd,60,5.5,83.4,67.7,1080,1920,401,ios,2,1.84,128,2,12
apple,apple_ipad_air_2,1,1,1,0,470.8,2014,1,7340,0,240,169.5,437,2,0,1,0,0,0,0,ips lcd,60,9.7,91.4,71.6,1536,2048,264,ios,,1.5,128,2,8
apple,apple_iphone_5s,1,1,0,0,353.1,2013,1,1560,0,123.8,58.6,112,0,0,1,0,0,0,0,ips lcd,60,4,44.1,60.8,640,1136,326,ios,2,1.3,64,1,8
apple,apple_iphone_6_plus,1,1,0,0,449.4,2014,1,2915,0,158.1,77.8,172,0,0,1,0,0,0,0,ips lcd,60,5.5,83.4,67.8,1080,1920,401,ios,2,1.4,128,1,8
apple,apple_ipad_10_2_(2021),1,1,1,0,460.1,2021,1,8557,0,250.6,174.1,487,2,0,1,0,0,0,0,retina ips lcd,60,10.2,322,73.8,1620,2160,265,ipados,6,1.8,256,3,8
apple,apple_iphone_5,1,1,0,0,363.8,2012,1,1440,0,123.8,58.6,112,0,0,1,0,0,0,0,ips lcd,60,4,44.1,60.8,640,1136,326,ios,2,1.3,64,1,8
apple,apple_ipad_9_7_(2018),1,1,1,0,374.5,2018,1,8827,0,240,169.5,469,2,0,1,0,0,0,0,ips lcd,60,9.7,91.4,71.6,1536,2048,264,ios,4,2.34,128,2,8
apple,apple_ipad_9_7_(2017),1,1,1,0,417.3,2017,1,8827,0,240,169.5,469,2,0,1,0,0,0,0,ips lcd,60,9.7,91.4,71.6,1536,2048,264,ios,2,1.84,128,2,8
apple,apple_ipad_mini_(2019),1,1,1,0,481.5,2019,1,5124,0,203.2,134.8,300.5,2,0,1,0,0,0,0,ips lcd,60,7.9,193.3,70.6,1536,2048,324,ios,6,1.6,256,3,8
apple,apple_ipad_air_(2020),0,1,1,0,684.8,2020,1,7606,0,247.6,178.5,458,2,0,1,0,0,0,0,liquid retina ips lcd,60,10.9,359,81.3,1640,2360,264,ipados,6,1.8,256,4,12
apple,apple_ipad_air,1,1,1,0,374.5,2013,1,8600,0,240,169.5,469,0,0,1,0,0,0,0,ips lcd,60,9.7,91.4,71.6,1536,2048,264,ios,2,1.3,128,1,5
apple,apple_ipad_10_2_(2019),1,1,1,0,374.5,2019,1,8827,0,250.6,174.1,483,2,0,1,0,0,0,0,ips lcd,60,10.2,324.6,74.4,1620,2160,264,ipados,4,2.34,128,3,8
archos,archos_saphir_50x,1,1,0,0,160.5,2018,1,4000,0,146.6,76,210,2,0,1,0,0,1,0,s-ips lcd,60,5,68.9,61.9,720,1280,294,android,4,1.3,16,2,8
archos,archos_diamond_alpha,1,1,0,0,374.5,2017,1,2950,0,146.7,72.5,155,2,0,1,0,0,1,1,ips lcd,60,5.2,74.5,70.1,1080,1920,424,android,8,1.4,64,4,13
archos,archos_diamond_alpha_+,1,1,0,0,428,2017,1,3000,0,146.7,72.5,155,2,0,1,0,0,1,1,ips lcd,60,5.2,74.5,70.1,1080,1920,424,android,8,1.4,128,6,13
archos,archos_diamond_tab,1,1,0,0,321,2017,1,6600,0,255,163,510,0,0,0,1,0,0,0,ips lcd,60,10.1,95.8,71.2,1600,2560,299,android,4,,64,4,13
archos,archos_sense_50x,1,1,0,0,181.9,2017,1,3500,0,153,78.9,223,2,0,0,0,0,0,0,ips lcd,60,5,68.9,57.1,1080,1920,441,android,4,1.5,32,3,8
archos,archos_64_xenon,1,1,0,0,256.8,2014,1,2800,1,170.7,90.6,232,2,0,0,0,0,0,0,ips lcd,60,6.4,112.9,73,720,1280,229,android,4,1.3,4,1,8
archos,archos_45_helium_4g,1,1,0,0,246.1,2014,1,1850,1,135,67,140,0,0,0,1,0,0,0,ips lcd,60,4.5,57.6,63.7,480,800,207,android,4,1.2,4,1,5
archos,archos_50_helium_4g,1,1,0,0,299.6,2014,1,2000,1,145,71.5,160,0,0,0,1,0,0,0,ips lcd,60,5,68.9,66.5,720,1280,294,android,4,1.2,8,1,8
archos,archos_50c_oxygen,1,1,0,0,256.8,2014,1,2000,1,145,69.8,140,2,0,0,0,0,0,0,ips lcd,60,5,68.9,68.1,720,1280,294,android,8,1.7,8,1,8
archos,archos_50_diamond,1,1,0,0,214,2014,1,2700,0,146,70.4,142,2,0,0,1,0,1,0,ips lcd,60,5,69,67.4,1080,1920,440,android,8,1,16,2,16
archos,archos_50d_helium_4g,1,1,0,0,149.8,2015,1,2100,1,146,72.2,154,2,0,0,1,0,1,0,ips lcd,60,5,68.9,65.4,720,1280,294,android,4,1.2,8,1,13
archos,archos_diamond_2_plus,1,1,0,0,267.5,2016,1,2950,0,148.3,73.8,193,2,0,0,1,0,1,1,ips lcd,60,5.5,83.4,76.2,1080,1920,401,android,8,1,64,4,20.7
archos,archos_50b_helium_4g,1,1,0,0,160.5,2014,1,2000,1,145,71.5,160,2,0,0,1,0,1,0,ips lcd,60,5,68.9,66.5,720,1280,294,android,4,1.2,8,1,8
asus,asus_zenfone_2_ze551ml,1,1,0,0,321,2015,1,3000,0,152.5,77.2,170,2,0,0,1,0,1,0,ips lcd,60,5.5,83.4,70.8,1080,1920,401,android,4,1.8,128,4,13
asus,asus_zenfone_live_(l1)_za550kl,1,1,0,0,107,2018,1,3000,0,147.3,71.8,140,2,0,1,0,0,1,0,ips lcd,60,5.5,78.1,73.8,720,1440,293,android,4,1.4,32,2,13
asus,asus_zenfone_3_ze552kl,1,1,0,0,353.1,2016,1,3000,0,152.6,77.4,155,2,0,1,1,0,1,1,super ips+,60,5.5,83.4,70.6,1080,1920,401,android,8,2,64,4,16
asus,asus_zenfone_3_max_zc520tl,1,1,0,0,246.1,2016,1,4130,0,149.5,73.7,148,2,0,1,1,0,1,1,ips lcd,60,5.2,74.5,67.7,720,1280,282,android,4,1.25,32,3,13
asus,asus_google_nexus_7,1,1,1,0,160.5,2012,1,4325,0,198.5,120,340,0,0,0,0,0,0,0,led-backlit ips lcd,60,7,142.1,59.6,800,1280,216,android,4,1.2,32,1,1.2
asus,asus_zenfone_max_zc550kl,1,1,0,0,181.9,2015,1,5000,0,156,77.5,202,2,0,0,1,0,1,0,ips lcd,60,5.5,83.4,69,720,1280,267,android,4,1.2,16,2,13
asus,asus_google_nexus_7_(2013),1,1,1,0,246.1,2013,1,3950,0,200,114,290,0,0,0,1,0,0,0,led-backlit ips lcd,60,7,142.1,62.3,1200,1920,323,android,4,1.5,32,2,5
asus,asus_zenfone_3_ze520kl,1,1,0,0,299.6,2016,1,2600,0,146.9,74,144,2,0,1,1,0,1,1,super ips+,60,5.2,74.5,68.6,1080,1920,424,android,8,2,64,4,16
asus,asus_zenfone_2_laser_ze500kl,1,1,0,0,224.7,2015,1,2400,1,143.7,71.5,140,2,0,0,1,0,1,0,tft,60,5,68.9,67.1,720,1280,294,android,4,1.2,16,2,13
asus,asus_zenfone_3_max_zc553kl,1,1,0,0,203.3,2016,1,4100,0,151.4,76.2,175,2,0,1,0,0,1,1,ips lcd,60,5.5,83.4,72.3,1080,1920,401,android,8,1.4,32,4,16
asus,asus_zenfone_selfie_zd551kl,1,1,0,0,299.6,2015,1,3000,1,156.5,77.2,170,2,0,0,1,0,1,0,ips lcd,60,5.5,82.6,68.3,1080,1920,403,android,8,1,32,3,13
benq,benq_a3,1,1,0,0,160.5,2013,1,2000,1,133.9,66,135,0,1,0,0,0,0,0,ips lcd,60,4.5,55.8,63.2,540,960,245,android,4,1.2,4,1,8
benq,benq_f3,1,1,0,0,214,2013,1,2100,1,131.6,66.9,119,0,0,0,1,0,0,0,ips lcd,60,4.5,55.8,63.4,540,960,245,android,4,1.2,4,1,13
benq,benq_t3,1,1,0,0,85.6,2014,1,1840,0,131.9,66.7,128,0,0,0,1,0,0,0,ips lcd,60,4.5,55.8,63.5,540,960,245,android,4,1.2,4,1,8
benq,benq_f5,1,1,0,0,107,2014,1,2520,0,143,72.8,135,0,0,0,1,0,0,0,ips lcd,60,5,68.9,66.2,720,1280,294,android,4,1.2,16,2,13
blackberry,blackberry_priv,1,1,0,0,288.9,2015,1,3410,0,147,77.2,192,0,0,1,0,0,0,0,amoled,60,5.4,81.6,71.9,1440,2560,540,android,6,1.8,32,3,18
blackberry,blackberry_passport,1,1,1,0,181.9,2014,1,3450,0,128,90.3,196,0,0,1,0,0,0,0,ips lcd,60,4.5,65.3,56.5,1440,1440,453,blackberry,4,2.26,32,3,13
blackberry,blackberry_keyone,1,1,0,0,310.3,2017,1,3500,0,149.1,72.4,180,1,0,1,0,0,0,0,ips lcd,60,4.5,60,55.6,1080,1620,434,android,8,2,64,4,12
blackberry,blackberry_classic,1,1,0,0,128.4,2014,1,2515,0,131,72.4,177,0,0,1,0,0,0,0,ips lcd,60,3.5,38.7,40.8,720,720,294,blackberry,2,1.5,16,2,8
blackberry,blackberry_z10,1,1,0,0,128.4,2013,1,1800,1,130,65.6,137.5,0,0,0,1,0,0,0,tft,60,4.2,50,58.9,768,1280,355,blackberry,2,1.5,16,2,8
blackberry,blackberry_motion,1,1,0,0,417.3,2017,1,4000,0,155.8,75.5,167,1,0,1,0,0,0,0,ips lcd,60,5.5,82.6,70.2,1080,1920,403,android,8,2,32,4,12
blackberry,blackberry_storm_9500,1,1,0,0,85.6,2008,1,1400,1,112.5,62.2,155,0,1,0,0,0,0,0,tft,60,3.25,32.7,46.7,360,480,185,blackberry,,0.011,1,0.128,3.15
blackberry,blackberry_q5,1,1,0,0,74.9,2013,1,2180,0,120,66,120,0,0,0,1,0,0,0,ips lcd,60,3.1,31,39.1,720,720,328,blackberry,2,1.2,8,2,5
blackberry,blackberry_porsche_design_p_9983,1,1,0,0,460.1,2014,1,2100,1,119,67.1,140,0,0,0,1,0,0,0,ips lcd,60,3.1,31,38.8,720,720,328,blackberry,2,1.5,64,2,8
blackberry,blackberry_leap,1,1,0,0,85.6,2015,1,2800,0,144,72.8,170,0,0,0,1,0,0,0,ips lcd,60,5,68.9,65.7,720,1280,294,blackberry,2,1.5,16,2,8
blackberry,blackberry_aurora,1,1,0,0,214,2017,1,3000,0,152,76.8,178,2,0,0,1,0,1,0,ips lcd,60,5.5,83.4,71.4,720,1280,267,android,4,1.4,32,4,13
blackberry,blackberry_z3,1,1,0,0,96.3,2014,1,2500,0,140,72.8,164,0,0,0,1,0,0,0,ips lcd,60,5,68.9,67.6,540,960,220,blackberry,2,1.2,8,1.5,5
blackberry,blackberry_z30,1,1,1,0,149.8,2013,1,2880,0,140.7,72,170,0,0,0,1,0,0,0,super amoled,60,5,68.9,68,720,1280,294,blackberry,2,1.7,16,2,8
blackberry,blackberry_porsche_design_p_9981,1,1,0,0,856,2011,1,1230,1,115,67,155,0,1,0,0,0,0,0,tft,60,2.8,4.3,31.5,640,480,286,blackberry,,1.2,8,0.768,5
blackberry,blackberry_dtek50,1,1,1,0,214,2016,1,2610,0,147,72.5,135,2,0,1,0,0,1,1,ips lcd,60,5.2,74.5,69.9,1080,1920,424,android,8,1.2,16,3,13
blackberry,blackberry_dtek60,1,1,1,0,267.5,2016,1,3000,0,153.9,75.4,165,0,0,1,0,0,0,0,amoled,60,5.5,83.4,71.9,1440,2560,534,android,4,1.6,32,4,21
blackberry,blackberry_porsche_design_p_9982,1,1,0,0,417.3,2013,1,1800,1,131,65.6,140,0,0,0,1,0,0,0,ips lcd,60,4.2,50,58.4,768,1280,355,blackberry,2,1.5,64,2,8
