,manufacturer,device,url
0,acer,acer_chromebook_tab_10,https://www.gsmarena.com/acer_chromebook_tab_10-9139.php
1,acer,acer_iconia_talk_s,https://www.gsmarena.com/acer_iconia_talk_s-8306.php
2,alcatel,alcatel_1b_(2022),https://www.gsmarena.com/alcatel_1b_(2022)-11706.php
3,alcatel,alcatel_1se_(2020),https://www.gsmarena.com/alcatel_1se_(2020)-10618.php
