manufacturer,device,Network_Technology,Misc_Price,Platform_GPU,Launch_year,IsAvailable,Battery_Capacity,Battery_Removability,Body_length_mm,Body_width_mm,Body_Weight_g,num_slots_sim,has_mini_sim,has_nano_sim,has_micro_sim,has_e_sim,stand-by_sim,hybrid_sim,display_tech,display_refresh,display_diagonal_inches,display_area_cm2,display_screen_body_ratio,display_width_px,display_height_px,display_density,platform_os,platform_chipset_manufacturer,platform_cpu_count,platform_cpu_speed_ghz,memory_card_slot,memory_internal_storage,memory_ram,main_camera_single_mp
meizu,meizu_m6s,GSM / HSPA / LTE,About 150 EUR,Mali-G71 MP1,2018,1,3000,0,152,72.5,160,2,0,1,0,0,1,1,ips lcd,60,5.7,83.8,76.1,720,1440,282,android,exynos,6,2,microsdxc,64,3,16
meizu,meizu_m5c,GSM / HSPA / LTE,About 140 EUR,Mali-T720MP1,2017,1,3000,0,144,70.5,135,2,0,1,0,0,1,1,ips lcd,60,5,68.9,67.9,720,1280,294,android,mediatek,4,1.3,microsdxc,16,2,8
meizu,meizu_m2_note,GSM / HSPA / LTE,About 200 EUR,Mali-T720MP3,2015,1,3100,0,150.9,75.2,149,2,0,1,0,0,1,1,igzo ips lcd,60,5.5,82.6,72.8,1080,1920,403,android,mediatek,8,1.3,microsdxc,32,2,13
meizu,meizu_m5s,GSM / HSPA / LTE,About 130 EUR,Mali-T720MP2,2017,1,3000,0,148.2,72.5,143,2,0,1,0,0,1,1,ips lcd,60,5.2,74.5,69.4,720,1280,282,android,mediatek,8,1.3,microsdxc,32,3,13
meizu,meizu_m1_note,GSM / HSPA / LTE,About 130 EUR,Mali-T760,2014,1,3140,0,150.7,75.2,145,2,0,0,1,0,1,0,igzo ips lcd,60,5.5,82.6,72.9,1080,1920,403,android,mediatek,8,1.7,no,32,2,13
meizu,meizu_15_lite,GSM / CDMA / HSPA / LTE,About 240 EUR,Adreno 506,2018,1,3000,0,143.6,72.4,145,2,0,1,0,0,1,1,ips lcd,60,5.46,82,79,1080,1920,403,android,qualcomm,8,2.2,microsdxc,64,4,12
meizu,meizu_m2,GSM / HSPA / LTE,About 130 EUR,Mali-T720MP2,2015,1,2500,0,140.1,68.9,131,2,0,1,0,0,1,1,ips lcd,60,5,68.9,71.4,720,1280,294,android,mediatek,4,1.3,microsdxc,16,2,13
meizu,meizu_mx4_pro,GSM / HSPA / LTE,About 400 EUR,Mali-T628MP6,2014,1,3350,0,150.1,77,158,0,0,0,1,0,0,0,ips lcd,60,5.5,85,73.7,1536,2560,546,android,exynos,8,1.5,no,64,3,20.7
meizu,meizu_v8,GSM / CDMA / HSPA / LTE,About 100 EUR,PowerVR GE8100,2018,1,3200,0,148,73,145,2,0,1,0,0,1,0,ips lcd,60,5.7,83.8,77.6,720,1440,282,android,mediatek,4,1.5,microsdxc,32,3,13
meizu,meizu_mx4,GSM / HSPA / LTE,About 340 EUR,PowerVR G6200,2014,1,3100,0,144,75.2,147,0,0,0,1,0,0,0,ips lcd,60,5.36,81.8,75.5,1152,1920,418,android,mediatek,8,1.7,no,64,2,20.7
micromax,micromax_canvas_infinity,GSM / HSPA / LTE,About 10000 INR,Adreno 308,2017,1,2980,1,152,73,160,2,0,0,1,0,1,0,ips lcd,60,5.7,85.7,77.2,720,1440,279,android,qualcomm,4,1.4,microsdxc,32,3,13
